In 219 List,Facility Name,Facility ID,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
YES,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,330079,NY,READM-30-HF-HRRP,N/A,,0.9462,18.8589,19.9321,Too Few to Report,07/01/2020,06/30/2023
YES,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,330079,NY,READM-30-COPD-HRRP,N/A,,0.9323,14.4973,15.5500,Too Few to Report,07/01/2020,06/30/2023
YES,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,330079,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,330079,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,ALBANY MEDICAL CENTER HOSPITAL,330013,NY,READM-30-PN-HRRP,308,,0.9853,17.2159,17.4729,52,07/01/2020,06/30/2023
YES,ALBANY MEDICAL CENTER HOSPITAL,330013,NY,READM-30-HIP-KNEE-HRRP,N/A,,1.0001,5.6587,5.6583,Too Few to Report,07/01/2020,06/30/2023
YES,ALBANY MEDICAL CENTER HOSPITAL,330013,NY,READM-30-HF-HRRP,472,,0.8937,18.2000,20.3651,78,07/01/2020,06/30/2023
YES,ALBANY MEDICAL CENTER HOSPITAL,330013,NY,READM-30-COPD-HRRP,139,,0.9910,19.1120,19.2856,26,07/01/2020,06/30/2023
YES,ALBANY MEDICAL CENTER HOSPITAL,330013,NY,READM-30-CABG-HRRP,126,,1.0046,10.1976,10.1506,13,07/01/2020,06/30/2023
YES,ALBANY MEDICAL CENTER HOSPITAL,330013,NY,READM-30-AMI-HRRP,350,,1.0231,12.8336,12.5436,46,07/01/2020,06/30/2023
YES,ARNOT OGDEN MEDICAL CENTER,330090,NY,READM-30-PN-HRRP,229,,0.9340,15.5650,16.6653,31,07/01/2020,06/30/2023
YES,ARNOT OGDEN MEDICAL CENTER,330090,NY,READM-30-HIP-KNEE-HRRP,N/A,,0.9596,4.6201,4.8146,Too Few to Report,07/01/2020,06/30/2023
YES,ARNOT OGDEN MEDICAL CENTER,330090,NY,READM-30-HF-HRRP,293,,0.9836,19.1683,19.4884,55,07/01/2020,06/30/2023
YES,ARNOT OGDEN MEDICAL CENTER,330090,NY,READM-30-COPD-HRRP,150,,0.9982,18.0736,18.1060,27,07/01/2020,06/30/2023
YES,ARNOT OGDEN MEDICAL CENTER,330090,NY,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,ARNOT OGDEN MEDICAL CENTER,330090,NY,READM-30-AMI-HRRP,136,,1.1113,16.0250,14.4206,27,07/01/2020,06/30/2023
YES,AUBURN  COMMUNITY  HOSPITAL,330235,NY,READM-30-PN-HRRP,292,,1.0025,16.7227,16.6808,49,07/01/2020,06/30/2023
YES,AUBURN  COMMUNITY  HOSPITAL,330235,NY,READM-30-HIP-KNEE-HRRP,N/A,,1.0028,6.1723,6.1551,Too Few to Report,07/01/2020,06/30/2023
YES,AUBURN  COMMUNITY  HOSPITAL,330235,NY,READM-30-HF-HRRP,264,,1.1726,24.3833,20.7949,76,07/01/2020,06/30/2023
YES,AUBURN  COMMUNITY  HOSPITAL,330235,NY,READM-30-COPD-HRRP,146,,1.0066,19.5833,19.4552,29,07/01/2020,06/30/2023
YES,AUBURN  COMMUNITY  HOSPITAL,330235,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,AUBURN  COMMUNITY  HOSPITAL,330235,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,BELLEVUE HOSPITAL CENTER,330204,NY,READM-30-PN-HRRP,N/A,,0.9474,14.6727,15.4871,Too Few to Report,07/01/2020,06/30/2023
YES,BELLEVUE HOSPITAL CENTER,330204,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,BELLEVUE HOSPITAL CENTER,330204,NY,READM-30-HF-HRRP,90,,1.0237,21.4547,20.9586,21,07/01/2020,06/30/2023
YES,BELLEVUE HOSPITAL CENTER,330204,NY,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,BELLEVUE HOSPITAL CENTER,330204,NY,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,BELLEVUE HOSPITAL CENTER,330204,NY,READM-30-AMI-HRRP,94,,1.0013,15.8915,15.8716,15,07/01/2020,06/30/2023
YES,BERTRAND CHAFFEE HOSPITAL,330111,NY,READM-30-PN-HRRP,65,,1.0310,15.3340,14.8726,12,07/01/2020,06/30/2023
YES,BERTRAND CHAFFEE HOSPITAL,330111,NY,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,BERTRAND CHAFFEE HOSPITAL,330111,NY,READM-30-HF-HRRP,N/A,,1.0017,15.7516,15.7245,Too Few to Report,07/01/2020,06/30/2023
YES,BERTRAND CHAFFEE HOSPITAL,330111,NY,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,BERTRAND CHAFFEE HOSPITAL,330111,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,BERTRAND CHAFFEE HOSPITAL,330111,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,BON SECOURS COMMUNITY HOSPITAL,330135,NY,READM-30-PN-HRRP,108,,1.0281,15.8628,15.4294,19,07/01/2020,06/30/2023
YES,BON SECOURS COMMUNITY HOSPITAL,330135,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,BON SECOURS COMMUNITY HOSPITAL,330135,NY,READM-30-HF-HRRP,150,,1.0468,20.5002,19.5846,34,07/01/2020,06/30/2023
YES,BON SECOURS COMMUNITY HOSPITAL,330135,NY,READM-30-COPD-HRRP,88,,1.0319,17.1791,16.6487,17,07/01/2020,06/30/2023
YES,BON SECOURS COMMUNITY HOSPITAL,330135,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,BON SECOURS COMMUNITY HOSPITAL,330135,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,BRONXCARE HOSPITAL CENTER,330009,NY,READM-30-PN-HRRP,143,,1.0716,19.6570,18.3434,33,07/01/2020,06/30/2023
YES,BRONXCARE HOSPITAL CENTER,330009,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,BRONXCARE HOSPITAL CENTER,330009,NY,READM-30-HF-HRRP,97,,1.0747,23.3586,21.7345,28,07/01/2020,06/30/2023
YES,BRONXCARE HOSPITAL CENTER,330009,NY,READM-30-COPD-HRRP,40,,1.0863,25.8445,23.7917,16,07/01/2020,06/30/2023
YES,BRONXCARE HOSPITAL CENTER,330009,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,BRONXCARE HOSPITAL CENTER,330009,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,BRONXCARE HOSPITAL CENTER,330009,NY,READM-30-PN-HRRP,143,,1.0716,19.6570,18.3434,33,07/01/2020,06/30/2023
YES,BRONXCARE HOSPITAL CENTER,330009,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,BRONXCARE HOSPITAL CENTER,330009,NY,READM-30-HF-HRRP,97,,1.0747,23.3586,21.7345,28,07/01/2020,06/30/2023
YES,BRONXCARE HOSPITAL CENTER,330009,NY,READM-30-COPD-HRRP,40,,1.0863,25.8445,23.7917,16,07/01/2020,06/30/2023
YES,BRONXCARE HOSPITAL CENTER,330009,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,BRONXCARE HOSPITAL CENTER,330009,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,BROOKDALE HOSPITAL MEDICAL CENTER,330233,NY,READM-30-PN-HRRP,158,,0.9575,17.7460,18.5338,25,07/01/2020,06/30/2023
YES,BROOKDALE HOSPITAL MEDICAL CENTER,330233,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,BROOKDALE HOSPITAL MEDICAL CENTER,330233,NY,READM-30-HF-HRRP,214,,1.0380,21.1804,20.4050,48,07/01/2020,06/30/2023
YES,BROOKDALE HOSPITAL MEDICAL CENTER,330233,NY,READM-30-COPD-HRRP,77,,1.0409,21.3169,20.4791,19,07/01/2020,06/30/2023
YES,BROOKDALE HOSPITAL MEDICAL CENTER,330233,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,BROOKDALE HOSPITAL MEDICAL CENTER,330233,NY,READM-30-AMI-HRRP,N/A,,1.0089,17.1765,17.0249,Too Few to Report,07/01/2020,06/30/2023
YES,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,330056,NY,READM-30-PN-HRRP,128,,1.0451,18.6884,17.8827,27,07/01/2020,06/30/2023
YES,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,330056,NY,READM-30-HIP-KNEE-HRRP,N/A,,0.9555,3.7364,3.9105,Too Few to Report,07/01/2020,06/30/2023
YES,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,330056,NY,READM-30-HF-HRRP,120,,1.0662,21.9488,20.5852,31,07/01/2020,06/30/2023
YES,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,330056,NY,READM-30-COPD-HRRP,N/A,,1.0239,17.3371,16.9330,Too Few to Report,07/01/2020,06/30/2023
YES,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,330056,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,330056,NY,READM-30-AMI-HRRP,N/A,,0.9892,17.0960,17.2834,Too Few to Report,07/01/2020,06/30/2023
YES,"BROOKS-TLC HOSPITAL SYSTEM, INC",330229,NY,READM-30-PN-HRRP,N/A,,0.9692,13.9727,14.4168,Too Few to Report,07/01/2020,06/30/2023
YES,"BROOKS-TLC HOSPITAL SYSTEM, INC",330229,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,"BROOKS-TLC HOSPITAL SYSTEM, INC",330229,NY,READM-30-HF-HRRP,51,,1.0527,18.5684,17.6394,13,07/01/2020,06/30/2023
YES,"BROOKS-TLC HOSPITAL SYSTEM, INC",330229,NY,READM-30-COPD-HRRP,N/A,,0.9373,14.7274,15.7129,Too Few to Report,07/01/2020,06/30/2023
YES,"BROOKS-TLC HOSPITAL SYSTEM, INC",330229,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,"BROOKS-TLC HOSPITAL SYSTEM, INC",330229,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,CANTON-POTSDAM HOSPITAL,330197,NY,READM-30-PN-HRRP,183,,0.9426,14.1456,15.0067,22,07/01/2020,06/30/2023
YES,CANTON-POTSDAM HOSPITAL,330197,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,CANTON-POTSDAM HOSPITAL,330197,NY,READM-30-HF-HRRP,169,,1.1280,21.5658,19.1195,45,07/01/2020,06/30/2023
YES,CANTON-POTSDAM HOSPITAL,330197,NY,READM-30-COPD-HRRP,120,,0.9800,19.3795,19.7748,22,07/01/2020,06/30/2023
YES,CANTON-POTSDAM HOSPITAL,330197,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,CANTON-POTSDAM HOSPITAL,330197,NY,READM-30-AMI-HRRP,N/A,,1.0342,16.6245,16.0747,Too Few to Report,07/01/2020,06/30/2023
YES,CAYUGA MEDICAL CENTER AT ITHACA,330307,NY,READM-30-PN-HRRP,211,,0.9664,14.8179,15.3328,29,07/01/2020,06/30/2023
YES,CAYUGA MEDICAL CENTER AT ITHACA,330307,NY,READM-30-HIP-KNEE-HRRP,N/A,,0.8997,4.5989,5.1113,Too Few to Report,07/01/2020,06/30/2023
YES,CAYUGA MEDICAL CENTER AT ITHACA,330307,NY,READM-30-HF-HRRP,153,,1.0267,19.0652,18.5698,31,07/01/2020,06/30/2023
YES,CAYUGA MEDICAL CENTER AT ITHACA,330307,NY,READM-30-COPD-HRRP,69,,1.0572,18.2464,17.2590,16,07/01/2020,06/30/2023
YES,CAYUGA MEDICAL CENTER AT ITHACA,330307,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,CAYUGA MEDICAL CENTER AT ITHACA,330307,NY,READM-30-AMI-HRRP,N/A,,0.9700,11.2002,11.5465,Too Few to Report,07/01/2020,06/30/2023
YES,CHENANGO MEMORIAL HOSPITAL,330033,NY,READM-30-PN-HRRP,75,,1.0669,15.6165,14.6376,16,07/01/2020,06/30/2023
YES,CHENANGO MEMORIAL HOSPITAL,330033,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,CHENANGO MEMORIAL HOSPITAL,330033,NY,READM-30-HF-HRRP,N/A,,0.9591,15.7145,16.3839,Too Few to Report,07/01/2020,06/30/2023
YES,CHENANGO MEMORIAL HOSPITAL,330033,NY,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,CHENANGO MEMORIAL HOSPITAL,330033,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,CHENANGO MEMORIAL HOSPITAL,330033,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,CLIFTON SPRINGS HOSPITAL AND CLINIC,330265,NY,READM-30-PN-HRRP,N/A,,1.0383,17.9976,17.3342,Too Few to Report,07/01/2020,06/30/2023
YES,CLIFTON SPRINGS HOSPITAL AND CLINIC,330265,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,CLIFTON SPRINGS HOSPITAL AND CLINIC,330265,NY,READM-30-HF-HRRP,60,,1.0358,19.2626,18.5965,14,07/01/2020,06/30/2023
YES,CLIFTON SPRINGS HOSPITAL AND CLINIC,330265,NY,READM-30-COPD-HRRP,25,,1.1001,20.4287,18.5699,11,07/01/2020,06/30/2023
YES,CLIFTON SPRINGS HOSPITAL AND CLINIC,330265,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,CLIFTON SPRINGS HOSPITAL AND CLINIC,330265,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,COLUMBIA MEMORIAL HOSPITAL,330094,NY,READM-30-PN-HRRP,121,,1.0183,16.3425,16.0481,21,07/01/2020,06/30/2023
YES,COLUMBIA MEMORIAL HOSPITAL,330094,NY,READM-30-HIP-KNEE-HRRP,N/A,,1.1125,5.1489,4.6282,Too Few to Report,07/01/2020,06/30/2023
YES,COLUMBIA MEMORIAL HOSPITAL,330094,NY,READM-30-HF-HRRP,154,,1.0139,20.7912,20.5062,33,07/01/2020,06/30/2023
YES,COLUMBIA MEMORIAL HOSPITAL,330094,NY,READM-30-COPD-HRRP,98,,1.0178,19.2912,18.9536,20,07/01/2020,06/30/2023
YES,COLUMBIA MEMORIAL HOSPITAL,330094,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,COLUMBIA MEMORIAL HOSPITAL,330094,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",330011,NY,READM-30-PN-HRRP,374,,1.0500,15.9727,15.2123,63,07/01/2020,06/30/2023
YES,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",330011,NY,READM-30-HIP-KNEE-HRRP,N/A,,0.9403,4.4474,4.7299,Too Few to Report,07/01/2020,06/30/2023
YES,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",330011,NY,READM-30-HF-HRRP,352,,1.0043,19.5165,19.4328,69,07/01/2020,06/30/2023
YES,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",330011,NY,READM-30-COPD-HRRP,83,,0.9831,16.8949,17.1855,13,07/01/2020,06/30/2023
YES,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",330011,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",330011,NY,READM-30-AMI-HRRP,N/A,,1.0010,14.5690,14.5549,Too Few to Report,07/01/2020,06/30/2023
YES,CORNING HOSPITAL,330277,NY,READM-30-PN-HRRP,169,,1.0116,14.9323,14.7608,26,07/01/2020,06/30/2023
YES,CORNING HOSPITAL,330277,NY,READM-30-HIP-KNEE-HRRP,N/A,,1.1280,4.9053,4.3488,Too Few to Report,07/01/2020,06/30/2023
YES,CORNING HOSPITAL,330277,NY,READM-30-HF-HRRP,160,,1.0048,17.9175,17.8312,29,07/01/2020,06/30/2023
YES,CORNING HOSPITAL,330277,NY,READM-30-COPD-HRRP,N/A,,0.9570,17.8204,18.6220,Too Few to Report,07/01/2020,06/30/2023
YES,CORNING HOSPITAL,330277,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,CORNING HOSPITAL,330277,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,CROUSE HOSPITAL,330203,NY,READM-30-PN-HRRP,501,,1.1872,17.8289,15.0177,101,07/01/2020,06/30/2023
YES,CROUSE HOSPITAL,330203,NY,READM-30-HIP-KNEE-HRRP,N/A,,0.8200,3.6021,4.3927,Too Few to Report,07/01/2020,06/30/2023
YES,CROUSE HOSPITAL,330203,NY,READM-30-HF-HRRP,511,,1.0568,18.6268,17.6257,99,07/01/2020,06/30/2023
YES,CROUSE HOSPITAL,330203,NY,READM-30-COPD-HRRP,139,,1.0398,17.7159,17.0373,27,07/01/2020,06/30/2023
YES,CROUSE HOSPITAL,330203,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,CROUSE HOSPITAL,330203,NY,READM-30-AMI-HRRP,113,,0.9515,11.8005,12.4020,11,07/01/2020,06/30/2023
YES,CROUSE HOSPITAL,330203,NY,READM-30-PN-HRRP,501,,1.1872,17.8289,15.0177,101,07/01/2020,06/30/2023
YES,CROUSE HOSPITAL,330203,NY,READM-30-HIP-KNEE-HRRP,N/A,,0.8200,3.6021,4.3927,Too Few to Report,07/01/2020,06/30/2023
YES,CROUSE HOSPITAL,330203,NY,READM-30-HF-HRRP,511,,1.0568,18.6268,17.6257,99,07/01/2020,06/30/2023
YES,CROUSE HOSPITAL,330203,NY,READM-30-COPD-HRRP,139,,1.0398,17.7159,17.0373,27,07/01/2020,06/30/2023
YES,CROUSE HOSPITAL,330203,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,CROUSE HOSPITAL,330203,NY,READM-30-AMI-HRRP,113,,0.9515,11.8005,12.4020,11,07/01/2020,06/30/2023
YES,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",330011,NY,READM-30-PN-HRRP,374,,1.0500,15.9727,15.2123,63,07/01/2020,06/30/2023
YES,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",330011,NY,READM-30-HIP-KNEE-HRRP,N/A,,0.9403,4.4474,4.7299,Too Few to Report,07/01/2020,06/30/2023
YES,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",330011,NY,READM-30-HF-HRRP,352,,1.0043,19.5165,19.4328,69,07/01/2020,06/30/2023
YES,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",330011,NY,READM-30-COPD-HRRP,83,,0.9831,16.8949,17.1855,13,07/01/2020,06/30/2023
YES,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",330011,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",330011,NY,READM-30-AMI-HRRP,N/A,,1.0010,14.5690,14.5549,Too Few to Report,07/01/2020,06/30/2023
YES,ELLIS HOSPITAL,330153,NY,READM-30-PN-HRRP,345,,0.9421,15.0732,15.9989,48,07/01/2020,06/30/2023
YES,ELLIS HOSPITAL,330153,NY,READM-30-HIP-KNEE-HRRP,N/A,,1.0633,4.6858,4.4071,Too Few to Report,07/01/2020,06/30/2023
YES,ELLIS HOSPITAL,330153,NY,READM-30-HF-HRRP,441,,1.0996,20.2543,18.4193,96,07/01/2020,06/30/2023
YES,ELLIS HOSPITAL,330153,NY,READM-30-COPD-HRRP,138,,1.0464,20.3546,19.4520,31,07/01/2020,06/30/2023
YES,ELLIS HOSPITAL,330153,NY,READM-30-CABG-HRRP,N/A,,0.9088,10.3222,11.3584,Too Few to Report,07/01/2020,06/30/2023
YES,ELLIS HOSPITAL,330153,NY,READM-30-AMI-HRRP,228,,1.0051,13.4894,13.4206,31,07/01/2020,06/30/2023
YES,ELLIS HOSPITAL,330153,NY,READM-30-PN-HRRP,345,,0.9421,15.0732,15.9989,48,07/01/2020,06/30/2023
YES,ELLIS HOSPITAL,330153,NY,READM-30-HIP-KNEE-HRRP,N/A,,1.0633,4.6858,4.4071,Too Few to Report,07/01/2020,06/30/2023
YES,ELLIS HOSPITAL,330153,NY,READM-30-HF-HRRP,441,,1.0996,20.2543,18.4193,96,07/01/2020,06/30/2023
YES,ELLIS HOSPITAL,330153,NY,READM-30-COPD-HRRP,138,,1.0464,20.3546,19.4520,31,07/01/2020,06/30/2023
YES,ELLIS HOSPITAL,330153,NY,READM-30-CABG-HRRP,N/A,,0.9088,10.3222,11.3584,Too Few to Report,07/01/2020,06/30/2023
YES,ELLIS HOSPITAL,330153,NY,READM-30-AMI-HRRP,228,,1.0051,13.4894,13.4206,31,07/01/2020,06/30/2023
YES,ELMHURST HOSPITAL CENTER,330128,NY,READM-30-PN-HRRP,99,,0.9484,14.7147,15.5153,11,07/01/2020,06/30/2023
YES,ELMHURST HOSPITAL CENTER,330128,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,ELMHURST HOSPITAL CENTER,330128,NY,READM-30-HF-HRRP,162,,0.9816,19.9516,20.3258,31,07/01/2020,06/30/2023
YES,ELMHURST HOSPITAL CENTER,330128,NY,READM-30-COPD-HRRP,N/A,,0.9629,16.2417,16.8681,Too Few to Report,07/01/2020,06/30/2023
YES,ELMHURST HOSPITAL CENTER,330128,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,ELMHURST HOSPITAL CENTER,330128,NY,READM-30-AMI-HRRP,N/A,,0.9994,13.5163,13.5242,Too Few to Report,07/01/2020,06/30/2023
YES,ERIE COUNTY MEDICAL CENTER,330219,NY,READM-30-PN-HRRP,107,,0.9274,16.9923,18.3223,13,07/01/2020,06/30/2023
YES,ERIE COUNTY MEDICAL CENTER,330219,NY,READM-30-HIP-KNEE-HRRP,N/A,,0.8430,4.0142,4.7619,Too Few to Report,07/01/2020,06/30/2023
YES,ERIE COUNTY MEDICAL CENTER,330219,NY,READM-30-HF-HRRP,115,,1.0251,22.7677,22.2108,28,07/01/2020,06/30/2023
YES,ERIE COUNTY MEDICAL CENTER,330219,NY,READM-30-COPD-HRRP,80,,1.0219,20.7870,20.3424,18,07/01/2020,06/30/2023
YES,ERIE COUNTY MEDICAL CENTER,330219,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,ERIE COUNTY MEDICAL CENTER,330219,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
