Hospital Name,Street Address,"City, State, ZIP",Phone
Flushing Hospital Medical Center,45th Avenue & Parsons Blvd,"Flushing, NY 11355",(718) 670-5918
Garnet Health Medical Center,707 East Main Street,"Middletown, NY 10940",(845) 333-1000
Garnet Health Medical Center - Catskills,68 Harris-Bushville Road P.O. Box 800,"Harris, NY 12742",(845) 794-3300
Garnet Health Medical Center - Catskills - G. Hermann Site,8881 State Route 97,"Callicoon, NY 12723",(845) 794-3300
Geneva General Hospital,196-198 North Street,"Geneva, NY 14456",(315) 787-4000
Glen Cove Hospital,101 St Andrews Lane,"Glen Cove, NY 11542",(516) 674-7588
Glens Falls Hospital,100 PARK STREET,"Glens Falls, NY 12801",(518) 926-1000
Good Samaritan Hospital Medical Center,1000 MONTAUK HIGHWAY,"West Islip, NY 11795",(631) 376-3000
Good Samaritan Hospital of Suffern,255 Lafayette Avenue,"Suffern, NY 10901",(845) 368-5000
Gouverneur Hospital,77 West Barney Street,"Gouverneur, NY 13642",(315) 287-4863
Guthrie Cortland Medical Center,134 Homer Avenue,"Cortland, NY 13045",(607) 756-7525
Harlem Hospital Center,506 Lenox Avenue,"New York, NY 10037",(212) 939-1000
HealthAlliance Hospital Mary's Avenue Campus,105 Marys Avenue,"Kingston, NY 12401",(845) 338-2500
Helen Hayes Hospital,51 N Route 9W,"West Haverstraw, NY 10993",(845) 786-4000
Henry J. Carter Specialty Hospital,1752 Park Avenue,"New York, NY 10035",(212) 318-8000
Highland Hospital,1000 SOUTH AVENUE,"Rochester, NY 14620",(585) 473-2200
Hospital for Special Surgery,535 E 70th Street,"New York, NY 10021",(212) 606-1236
Huntington Hospital,270 Park Avenue,"Huntington, NY 11743",(631) 351-2200
Interfaith Medical Center,1545 Atlantic Avenue,"Brooklyn, NY 11213",(718) 935-7000
Ira Davenport Memorial Hospital,7571 State Route 54,"Bath, NY 14810",(607) 776-8500
Jacobi Medical Center,1400 Pelham Parkway,"Bronx, NY 10461",(718) 918-5000
Jamaica Hospital Medical Center,89th Avenue & Van Wyck Expressway,"Jamaica, NY 11418",(718) 206-6000
John R. Oishei Children's Hospital,818 Ellicott Street,"Buffalo, NY 14203",(716) 878-7000
John T Mather Memorial Hospital of Port Jefferson New York Inc,75 NORTH COUNTRY ROAD,"Port Jefferson, NY 11777",(631) 473-1320
Kenmore Mercy Hospital,2950 ELMWOOD AVENUE,"Kenmore, NY 14217",(716) 447-6100
Kings County Hospital Center,451 Clarkson Avenue,"Brooklyn, NY 11203",(718) 245-3901
Kingsbrook Jewish Medical Village,585 Schenectady Avenue,"Brooklyn, NY 11203",(718) 604-5000
Lakeview Center for Mental Health and Wellness,29 East Cayuga Street,"Oswego, NY 13126",(315) 349-5526
Lenox Hill Hospital,100 East 77th Street,"New York, NY 10021",(212) 434-2000
Lewis County General Hospital,7785 North State Street,"Lowville, NY 13367",(315) 376-5200
Lincoln Medical & Mental Health Center,234 East 149th Street,"Bronx, NY 10451",(718) 579-5700
Little Falls Hospital,140 Burwell Street,"Little Falls, NY 13365",(315) 823-1000
"Lockport Memorial Hospital, a Campus of Mount St Mary's",6001 Shimer Drive,"Lockport, NY 14094",n/a
Long Island Jewish Forest Hills,102-01 66th Road,"Forest Hills, NY 11375",(516) 562-4060
Long Island Jewish Medical Center,270-05 76th Avenue,"New Hyde Park, NY 11040",(718) 470-7764
Long Island Jewish Valley Stream,900 Franklin Avenue,"Valley Stream, NY 11580",(516) 256-6000
Maimonides Medical Center,4802 TENTH AVENUE,"Brooklyn, NY 11219",(718) 283-6000
Maimonides Midwood Community Hospital,2525 Kings Highway,"Brooklyn, NY 11229",(718) 692-5300
Margaretville Hospital,42084 State Highway 28,"Margaretville, NY 12455",(845) 586-2631
Mary Imogene Bassett Hospital,ONE ATWELL ROAD,"Cooperstown, NY 13326",(607) 547-3456
Massena Hospital,1 Hospital Drive,"Massena, NY 13662",(315) 764-1711
Medina Memorial Hospital,200 Ohio Street,"Medina, NY 14103",(585) 798-2000
Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,191 North Main Street,"Wellsville, NY 14895",(585) 593-1100
Memorial Hospital for Cancer and Allied Diseases,1275 York Avenue,"New York, NY 10065",(212) 639-2000
Mercy Hospital,1000 North Village Avenue,"Rockville Centre, NY 11570",(516) 705-2525
Mercy Hospital - Mercy Hospital Orchard Park Division,3669 Southwestern Blvd,"Orchard Park, NY 14127",(716) 662-0500
Mercy Hospital of Buffalo,565 Abbott Road,"Buffalo, NY 14220",(716) 826-7000
Metropolitan Hospital Center,1901 First Avenue,"New York, NY 10029",(212) 423-8993
Mid-Hudson Valley Division of Westchester Medical Center,241 North Road,"Poughkeepsie, NY 12601",(845) 483-5000
Millard Fillmore Suburban Hospital,1540 Maple Road,"Amherst, NY 14221",(716) 568-3600
Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,1825 Eastchester Road,"Bronx, NY 10461",(718) 904-2001
Montefiore Medical Center - Henry & Lucy Moses Div,111 East 210th Street,"Bronx, NY 10467",(718) 920-2001
Montefiore Medical Center - Montefiore Westchester Square,2475 St. Raymond Avenue,"Bronx, NY 10461",(718) 430-7359
Montefiore Medical Center-Wakefield Hospital,600 East 233rd Street,"Bronx, NY 10466",(718) 920-9000
Montefiore Mount Vernon Hospital,12 North 7th Avenue,"Mount Vernon, NY 10550",(914) 361-6100
Montefiore New Rochelle Hospital,16 Guion Place,"New Rochelle, NY 10802",(914) 365-3700
Montefiore Nyack,160 North Midland Avenue,"Nyack, NY 10960",(845) 348-2000
Mount Sinai - Behavioral Health Center,45 Rivington Street,"New York, NY 10002",n/a
Mount Sinai Beth Israel,First Ave at 16th Street,"New York, NY 10003",(212) 420-2873
Mount Sinai Brooklyn,3201 Kings Highway,"Brooklyn, NY 11234",(718) 951-3000
Mount Sinai Hospital,One Gustave L Levy Place,"New York, NY 10029",(212) 241-7005
Mount Sinai Hospital - Mount Sinai Hospital of Queens,25-10 30th Avenue,"Long Island City, NY 11102",(718) 932-1000
Mount Sinai Morningside,1111 Amsterdam Avenue,"New York, NY 10025",(212) 523-4295
Mount Sinai South Nassau,One Healthy Way,"Oceanside, NY 11572",(516) 632-3000
Mount Sinai West,1000 10th Avenue,"New York, NY 10019",(212) 523-7225
Mount St. Mary's Hospital and Health Center,5300 Military Road,"Lewiston, NY 14092",(716) 297-4800
Nassau University Medical Center,2201 HEMPSTEAD TURNPIKE,"East Meadow, NY 11554",(516) 572-0123
Nathan Littauer Hospital,99 EAST STATE STREET,"Gloversville, NY 12078",(518) 725-8621
New York Eye and Ear Infirmary of Mount Sinai,310 East 14th Street,"New York, NY 10003",(212) 979-4300
New York-Presbyterian Brooklyn Methodist Hospital,506 Sixth Street,"Brooklyn, NY 11215",(718) 780-3101
New York-Presbyterian David H. Koch Center,1283 York Avenue,"New York, NY 10065",n/a
New York-Presbyterian Hospital - Allen Hospital,5141 Broadway,"New York, NY 10034",(212) 932-4000
New York-Presbyterian Hospital - Columbia Presbyterian Center,622 West 168th Street,"New York, NY 10032",(212) 305-2500
New York-Presbyterian Hospital - New York Weill Cornell Center,525 East 68th Street,"New York, NY 10021",(212) 746-5454
New York-Presbyterian Westchester,55 Palmer Avenue,"Bronxville, NY 10708",(914) 787-1000
New York-Presbyterian Westchester Behavioral Health Center,21 Bloomingdale Road,"White Plains, NY 10605",(914) 682-9100
New York-Presbyterian/Hudson Valley Hospital,1980 Crompond Road,"Cortlandt Manor, NY 10567",(914) 737-9000
New York-Presbyterian/Lower Manhattan Hospital,170 William Street,"New York, NY 10038",(212) 312-5175
New York-Presbyterian/Queens,56-45 Main Street,"Flushing, NY 11355",(718) 670-2000
Newark-Wayne Community Hospital,"1200 Driving Park Avenue, Box 111","Newark, NY 14513",(315) 332-2022
Niagara Falls Memorial Medical Center,621 TENTH STREET,"Niagara Falls, NY 14302",(716) 278-4000
Nicholas H. Noyes Memorial Hospital,111 Clara Barton Street,"Dansville, NY 14437",(585) 335-6001
North Central Bronx Hospital,3424 Kossuth Avenue & 210th Street,"Bronx, NY 10467",(718) 519-3500
North Shore University Hospital,300 Community Drive,"Manhasset, NY 11030",(516) 562-8730
Northern Dutchess Hospital,6511 Springbrook Avenue,"Rhinebeck, NY 12572",(845) 871-3001
Northern Westchester Hospital,400 East Main Street,"Mount Kisco, NY 10549",(914) 666-1303
Northwell Greenwich Village Hospital,30 Seventh Avenue,"New York, NY 10011",(516) 465-8018
NYU Langone Hospital - Joseph S. and Diane H. Steinberg Ambulatory Care Center,70 Atlantic Avenue,"Brooklyn, NY 11201",n/a
NYU Langone Hospital - Suffolk,101 Hospital Road,"Patchogue, NY 11772",(631) 654-7100
NYU Langone Hospital-Brooklyn,150 55th Street,"Brooklyn, NY 11220",(718) 630-7300
NYU Langone Hospital-Long Island,259 First Street,"Mineola, NY 11501",(516) 663-0333
NYU Langone Hospitals,550 First Avenue,"New York, NY 10016",(212) 263-5500
NYU Langone Orthopedic Hospital,301 East 17th Street,"New York, NY 10003",(212) 598-6000
O'Connor Hospital,460 Andes Road,"Delhi, NY 13753",(607) 746-0300
Olean General Hospital,515 Main Street,"Olean, NY 14760",(716) 375-6171
Oneida Health Hospital,321 Genesee Street,"Oneida, NY 13421",(315) 363-6000
Oswego Hospital,110 W Sixth Street,"Oswego, NY 13126",(315) 349-5511
Our Lady of Lourdes Memorial Hospital,169 Riverside Drive,"Binghamton, NY 13905",(607) 798-5111
Peconic Bay Medical Center,1 Heroes Way,"Riverhead, NY 11901",(631) 548-6000
Phelps Hospital,701 North Broadway,"Sleepy Hollow, NY 10591",(914) 366-3000
Plainview Hospital,888 OLD COUNTRY ROAD,"Plainview, NY 11803",(516) 719-3000
Putnam Hospital,670 Stoneleigh Avenue,"Carmel, NY 10512",(845) 279-5711
Queens Hospital Center,82-68 164th Street,"Jamaica, NY 11432",(718) 883-2350
Richmond University Medical Center,355 Bard Avenue,"Staten Island, NY 10310",(718) 818-2413
"River Hospital, Inc.",4 Fuller Street,"Alexandria Bay, NY 13607",(315) 482-2511
Rochester General Hospital,1425 PORTLAND AVENUE,"Rochester, NY 14621",(585) 922-4000
Rockefeller University Hospital,1230 York Avenue,"New York, NY 10021",(212) 327-7511
"Rome Memorial Hospital, Inc",1500 N James St,"Rome, NY 13440",(315) 338-7000
Roswell Park Cancer Institute,Elm and Carlton Streets,"Buffalo, NY 14263",(716) 845-2300
RUMC-Bayley Seton,75 Vanderbilt Avenue,"Staten Island, NY 10304",(718) 390-6000
Samaritan Hospital,2215 Burdett Avenue,"Troy, NY 12180",(518) 271-3300
Samaritan Hospital - Albany Memorial Campus,600 Northern Boulevard,"Albany, NY 12204",(518) 471-3221
Samaritan Medical Center,830 Washington Street,"Watertown, NY 13601",(315) 785-4000
Saratoga Hospital,211 CHURCH STREET,"Saratoga Springs, NY 12866",(518) 587-3222
SBH Health System,4422 Third Avenue,"Bronx, NY 10457",(718) 960-6100
Schuyler Hospital,220 Steuben Street,"Montour Falls, NY 14865",(607) 535-7121
Sisters of Charity Hospital,2157 MAIN STREET,"Buffalo, NY 14214",(716) 862-1000
Sisters of Charity Hospital - St. Joseph Campus,2605 Harlem Road,"Cheektowaga, NY 14225",(716) 891-2400
SJRH - Dobbs Ferry Pavillion,128 Ashford Avenue,"Dobbs Ferry, NY 10522",(914) 693-0700
SJRH - Park Care Pavilion,Two Park Avenue,"Yonkers, NY 10703",(914) 964-7300
SJRH - St Johns Division,967 North Broadway,"Yonkers, NY 10701",(914) 964-4200
Soldiers and Sailors Memorial Hospital of Yates County,418 North Main Street,"Penn Yan, NY 14527",(315) 531-2000
South Brooklyn Health,2601 Ocean Parkway,"Brooklyn, NY 11235",(718) 616-3000
South Nassau Communities Hospital Off-Campus Emergency Department,325 East Bay Drive,"Long Beach, NY 11561",(516) 870-1010
South Shore University Hospital,301 East Main Street,"Bay Shore, NY 11706",(631) 968-3000
St Anthony Community Hospital,15 Maple Avenue,"Warwick, NY 10990",(845) 986-2276
St Catherine of Siena Hospital,50 Route 25A,"Smithtown, NY 11787",(631) 862-3107
St Johns Episcopal Hospital So Shore,327 Beach 19th Street,"Far Rockaway, NY 11691",(718) 868-7320
St Luke's Cornwall Hospital/Newburgh,70 Dubois Street,"Newburgh, NY 12550",(845) 561-4400
St. Charles Hospital,200 Belle Terre Road,"Port Jefferson, NY 11777",(631) 474-6600
St. Francis Hospital & Heart Center,100 Port Washington Boulevard,"Roslyn, NY 11576",(516) 562-6000
St. James Hospital,7329 Seneca Road North,"Hornell, NY 14843",(607) 324-8000
St. Joseph Hospital,4295 HEMPSTEAD TURNPIKE,"Bethpage, NY 11714",(516) 579-6000
St. Joseph's Hospital,555 St. Joseph's Boulevard,"Elmira, NY 14901",(607) 733-6541
St. Joseph's Hospital Health Center,301 Prospect Avenue,"Syracuse, NY 13203",(315) 448-5111
St. Joseph's MC-St. Vincent's Westchester Division,275 North Street,"Harrison, NY 10528",(914) 925-5300
St. Joseph's Medical Center,127 South Broadway,"Yonkers, NY 10701",(914) 378-7000
St. Mary's Healthcare,427 Guy Park Avenue,"Amsterdam, NY 12010",(518) 842-1900
St. Mary's Healthcare - Amsterdam Memorial Campus,4988 Sthwy 30,"Amsterdam, NY 12010",(518) 842-3100
St. Peter's Addiction Recovery Center,3 Mercycare Lane,"Guilderland, NY 12084",(518) 452-6701
St. Peter's Hospital,315 South Manning Boulevard,"Albany, NY 12208",(518) 454-1550
St. Peter's Hospital - SPARC,1300 Massachusetts Avenue,"Troy, NY 12180",(518) 268-5941
Staten Island University Hosp-North,475 Seaview Avenue,"Staten Island, NY 10305",(718) 226-9515
Staten Island University Hospital Prince's Bay,375 Seguine Avenue,"Staten Island, NY 10309",(718) 226-9515
Stony Brook Eastern Long Island Hospital,201 Manor Place,"Greenport, NY 11944",(631) 477-1000
Stony Brook Southampton Hospital,240 Meeting House Lane,"Southampton, NY 11968",(631) 726-8200
Stony Brook University Hospital,Health Sciences Center SUNY,"Stony Brook, NY 11794",(631) 444-2701
Strong Memorial Hospital,601 Elmwood Avenue,"Rochester, NY 14642",(585) 275-8387
Sunnyview Hospital and Rehabilitation Center,1270 Belmont Avenue,"Schenectady, NY 12308",(518) 382-4500
Syosset Hospital,221 Jericho Turnpike,"Syosset, NY 11791",(516) 496-6400
The Unity Hospital of Rochester,1555 Long Pond Road,"Rochester, NY 14626",(585) 723-7000
The University of Vermont Health Network - Alice Hyde Medical Center,133 Park Street,"Malone, NY 12953",n/a
The University of Vermont Health Network - Champlain Valley Physicians Hospital,75 Beekman St,"Plattsburgh, NY 12901",(518) 561-2000
The University of Vermont Health Network - Elizabethtown Community Hospital,75 Park Street,"Elizabethtown, NY 12932",(518) 873-6377
The University of Vermont Health Network - Elizabethtown Community Hospital Moses Ludington,"101 Adirondack Drive, Suite 1","Ticonderoga, NY 12883",(518) 585-2831
United Health Services Hospitals Inc. - Binghamton General Hospital,10-42 Mitchell Avenue,"Binghamton, NY 13903",(607) 762-2200
United Health Services Hospitals Inc. - Wilson Medical Center,33-57 Harrison Street,"Johnson City, NY 13790",(607) 763-6000
United Memorial Medical Center Bank Street Campus,16 Bank Street,"Batavia, NY 14020",(585) 343-6030
United Memorial Medical Center North Street Campus,127 North St,"Batavia, NY 14020",(585) 343-6030
Unity Specialty Hospital,89 Genesee Street,"Rochester, NY 14611",(585) 723-7000
University Hospital of Brooklyn,445 Lenox Road,"Brooklyn, NY 11203",(718) 270-2401
University Hospital SUNY Health Science Center,750 East Adams Street,"Syracuse, NY 13210",(315) 464-5540
UPMC Chautauqua at WCA,207 Foote Avenue,"Jamestown, NY 14701",(716) 487-0141
UPMC Chautauqua at WCA,51 Glasgow Avenue,"Jamestown, NY 14701",(716) 487-0141
UPSTATE University Hospital at Community General,4900 Broad Road,"Syracuse, NY 13215",(315) 492-5953
URMC Strong West,156 West Avenue,"Brockport, NY 14420",(585) 785-1000
Vassar Brothers Medical Center,45 READE PLACE,"Poughkeepsie, NY 12601",(845) 454-8500
Westchester Medical Center,100 Woods Road,"Valhalla, NY 10595",(914) 493-7018
Westfield Memorial Hospital Inc,189 E Main Street,"Westfield, NY 14787",(716) 326-4921
White Plains Hospital Center,41 East Post Road,"White Plains, NY 10601",(914) 681-0600
Winifred Masterson Burke Rehabilitation Hospital,785 Mamaroneck Avenue,"White Plains, NY 10605",(914) 948-0050
Woodhull Medical & Mental Health Center,760 Broadway,"Brooklyn, NY 11206",(718) 963-8101
Wyckoff Heights Medical Center,374 Stockholm Street,"Brooklyn, NY 11237",(718) 963-7101
Wynn Hospital,111 Hospital Drive,"Utica, NY 13502",(315) 917-7760
Wyoming County Community Hospital,400 North Main Street,"Warsaw, NY 14569",n/a
