In 219 List,Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Measure ID,Measure Name,Compared to National,Denominator,Score,Lower Estimate,Higher Estimate,Number of Patients,Number of Patients Returned,Footnote,Start Date,End Date
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,53,17.9,14.5,21.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,97,20.6,16.9,24.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,157,16.4,13.6,19.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,EDAC_30_AMI,Hospital return days for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,EDAC_30_HF,Hospital return days for heart failure patients,Average Days per 100 Discharges,41,-3,-30.2,30.2,36,14,,07/01/2021,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,75,67.3,39.9,98.8,65,25,,07/01/2021,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,517,14.3,12.6,16.4,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,810,12.9,9.6,17.1,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,66,8.7,5.7,12.8,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,66,5.9,3.7,9.3,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,249,1.2,0.8,1.8,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,41,17.3,13.9,21.2,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,41,19.8,16.2,23.9,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Better Than the National Rate,469,2.9,1.9,4.3,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,75,16.3,13.1,19.9,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,EDAC_30_AMI,Hospital return days for heart attack patients,Average Days per 100 Discharges,324,0.9,-8.9,11.6,312,73,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,EDAC_30_HF,Hospital return days for heart failure patients,Fewer Days Than Average per 100 Discharges,443,-17.5,-27.6,-6.9,395,108,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,EDAC_30_PN,Hospital return days for pneumonia patients,Average Days per 100 Discharges,355,-0.1,-11.1,11.5,336,80,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,4525,15.3,14.5,16.2,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,946,13,9.8,17.3,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,142,9.7,6.6,14.3,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,142,4.4,2.7,7,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,1036,1,0.8,1.2,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,324,13.4,11.3,16.0,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,READM_30_CABG,Rate of readmission for CABG,No Different Than the National Rate,112,10.2,7.5,13.7,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,147,18.8,15.9,22.1,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,443,17.4,15.1,19.9,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,33,4.8,3.0,7.9,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,355,14.3,12.1,16.8,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,EDAC_30_AMI,Hospital return days for heart attack patients,Average Days per 100 Discharges,324,0.9,-8.9,11.6,312,73,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,EDAC_30_HF,Hospital return days for heart failure patients,Fewer Days Than Average per 100 Discharges,443,-17.5,-27.6,-6.9,395,108,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,EDAC_30_PN,Hospital return days for pneumonia patients,Average Days per 100 Discharges,355,-0.1,-11.1,11.5,336,80,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,4525,15.3,14.5,16.2,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,946,13,9.8,17.3,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,142,9.7,6.6,14.3,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,142,4.4,2.7,7,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,1036,1,0.8,1.2,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,324,13.4,11.3,16.0,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,READM_30_CABG,Rate of readmission for CABG,No Different Than the National Rate,112,10.2,7.5,13.7,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,147,18.8,15.9,22.1,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,443,17.4,15.1,19.9,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,33,4.8,3.0,7.9,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,355,14.3,12.1,16.8,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,EDAC_30_AMI,Hospital return days for heart attack patients,More Days Than Average per 100 Discharges,116,33,14.5,54.9,105,40,,07/01/2021,06/30/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,EDAC_30_HF,Hospital return days for heart failure patients,Average Days per 100 Discharges,243,-10.5,-23.6,3.7,197,63,,07/01/2021,06/30/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,EDAC_30_PN,Hospital return days for pneumonia patients,Average Days per 100 Discharges,223,0.1,-12.7,14.4,199,62,,07/01/2021,06/30/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,1093,15.8,14.5,17.3,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,817,13,9.7,17.2,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,96,10.1,7.1,14.3,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,96,5.9,3.9,8.9,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Worse than expected,299,1.7,1.3,2.2,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,116,15.6,12.8,18.9,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,145,17.8,14.9,21.1,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,243,19.1,16.1,22.3,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,75,4.5,2.8,7.0,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,223,15.3,12.8,18.2,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330235,AUBURN  COMMUNITY  HOSPITAL,17 LANSING STREET,AUBURN,NY,13021,CAYUGA,(315) 255-7011,EDAC_30_AMI,Hospital return days for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2024
YES,330235,AUBURN  COMMUNITY  HOSPITAL,17 LANSING STREET,AUBURN,NY,13021,CAYUGA,(315) 255-7011,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,258,47.7,31.7,64.8,207,80,,07/01/2021,06/30/2024
YES,330235,AUBURN  COMMUNITY  HOSPITAL,17 LANSING STREET,AUBURN,NY,13021,CAYUGA,(315) 255-7011,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,320,28.6,15.7,41.7,274,83,,07/01/2021,06/30/2024
YES,330235,AUBURN  COMMUNITY  HOSPITAL,17 LANSING STREET,AUBURN,NY,13021,CAYUGA,(315) 255-7011,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,874,15.6,14.2,17.1,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330235,AUBURN  COMMUNITY  HOSPITAL,17 LANSING STREET,AUBURN,NY,13021,CAYUGA,(315) 255-7011,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,870,11.6,8.7,15.6,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330235,AUBURN  COMMUNITY  HOSPITAL,17 LANSING STREET,AUBURN,NY,13021,CAYUGA,(315) 255-7011,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,35,9,6,13,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330235,AUBURN  COMMUNITY  HOSPITAL,17 LANSING STREET,AUBURN,NY,13021,CAYUGA,(315) 255-7011,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,35,4.9,3.1,7.8,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330235,AUBURN  COMMUNITY  HOSPITAL,17 LANSING STREET,AUBURN,NY,13021,CAYUGA,(315) 255-7011,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,239,1.3,0.9,1.8,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330235,AUBURN  COMMUNITY  HOSPITAL,17 LANSING STREET,AUBURN,NY,13021,CAYUGA,(315) 255-7011,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,330235,AUBURN  COMMUNITY  HOSPITAL,17 LANSING STREET,AUBURN,NY,13021,CAYUGA,(315) 255-7011,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,330235,AUBURN  COMMUNITY  HOSPITAL,17 LANSING STREET,AUBURN,NY,13021,CAYUGA,(315) 255-7011,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,158,18.8,15.8,22.2,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330235,AUBURN  COMMUNITY  HOSPITAL,17 LANSING STREET,AUBURN,NY,13021,CAYUGA,(315) 255-7011,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,258,21.6,18.5,24.9,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330235,AUBURN  COMMUNITY  HOSPITAL,17 LANSING STREET,AUBURN,NY,13021,CAYUGA,(315) 255-7011,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,41,5.3,3.2,8.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
