In 219 List,Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Measure ID,Measure Name,Compared to National,Denominator,Score,Lower Estimate,Higher Estimate,Footnote,Start Date,End Date
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,PSI_04,Death rate among surgical inpatients with serious treatable complications,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,07/01/2022,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,1288,0.27,0.04,0.5,,07/01/2022,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,PSI_08,In-hospital fall-associated fracture rate,No Different Than the National Rate,1272,0.25,0.04,0.47,,07/01/2022,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,704,2.43,0.77,4.08,,07/01/2022,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,PSI_10,Postoperative acute kidney injury requiring dialysis rate,No Different Than the National Rate,577,1.50,0,3.15,,07/01/2022,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,PSI_11,Postoperative respiratory failure rate,No Different Than the National Rate,574,5.93,0,14.03,,07/01/2022,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,715,3.30,0.90,5.69,,07/01/2022,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,PSI_13,Postoperative sepsis rate,No Different Than the National Rate,535,4.64,0.55,8.73,,07/01/2022,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,PSI_14,Postoperative wound dehiscence rate,No Different Than the National Rate,78,1.72,0.2,3.23,,07/01/2022,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,PSI_15,Abdominopelvic accidental puncture or laceration rate,No Different Than the National Rate,184,0.99,0,2.04,,07/01/2022,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,1.28,0.84,1.72,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,42,4.1,2.2,7.3,,04/01/2021,03/31/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,No Different Than the National Rate,2735,4.2,3.6,4.9,,07/01/2023,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,295,12.6,10.0,15.6,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,MORT_30_CABG,Death rate for CABG surgery patients,No Different Than the National Rate,115,2.6,1.3,5.3,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,135,10.5,7.6,14.3,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,423,12.6,10.4,15.2,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,371,17.5,14.7,20.7,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,MORT_30_STK,Death rate for stroke patients,Worse Than the National Rate,556,15.7,13.9,17.7,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_03,Pressure ulcer rate,No Different Than the National Rate,11084,0.74,0.34,1.15,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_04,Death rate among surgical inpatients with serious treatable complications,No Different Than the National Rate,288,202.26,172.39,232.13,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,12180,0.30,0.13,0.48,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_08,In-hospital fall-associated fracture rate,No Different Than the National Rate,12734,0.41,0.23,0.58,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,3954,2.53,1.44,3.63,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_10,Postoperative acute kidney injury requiring dialysis rate,No Different Than the National Rate,1570,2.67,1.34,4,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_11,Postoperative respiratory failure rate,No Different Than the National Rate,1447,10.86,6.3,15.41,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,4177,4.05,2.60,5.51,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_13,Postoperative sepsis rate,No Different Than the National Rate,1540,6.28,3.45,9.11,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_14,Postoperative wound dehiscence rate,No Different Than the National Rate,905,1.49,0.2,2.77,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_15,Abdominopelvic accidental puncture or laceration rate,No Different Than the National Rate,3079,1.42,0.68,2.16,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,1.22,1,1.44,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,42,4.1,2.2,7.3,,04/01/2021,03/31/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,No Different Than the National Rate,2735,4.2,3.6,4.9,,07/01/2023,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,295,12.6,10.0,15.6,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,MORT_30_CABG,Death rate for CABG surgery patients,No Different Than the National Rate,115,2.6,1.3,5.3,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,135,10.5,7.6,14.3,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,423,12.6,10.4,15.2,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,371,17.5,14.7,20.7,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,MORT_30_STK,Death rate for stroke patients,Worse Than the National Rate,556,15.7,13.9,17.7,,07/01/2021,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_03,Pressure ulcer rate,No Different Than the National Rate,11084,0.74,0.34,1.15,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_04,Death rate among surgical inpatients with serious treatable complications,No Different Than the National Rate,288,202.26,172.39,232.13,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,12180,0.30,0.13,0.48,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_08,In-hospital fall-associated fracture rate,No Different Than the National Rate,12734,0.41,0.23,0.58,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,3954,2.53,1.44,3.63,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_10,Postoperative acute kidney injury requiring dialysis rate,No Different Than the National Rate,1570,2.67,1.34,4,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_11,Postoperative respiratory failure rate,No Different Than the National Rate,1447,10.86,6.3,15.41,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,4177,4.05,2.60,5.51,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_13,Postoperative sepsis rate,No Different Than the National Rate,1540,6.28,3.45,9.11,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_14,Postoperative wound dehiscence rate,No Different Than the National Rate,905,1.49,0.2,2.77,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_15,Abdominopelvic accidental puncture or laceration rate,No Different Than the National Rate,3079,1.42,0.68,2.16,,07/01/2022,06/30/2024
YES,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,1.22,1,1.44,,07/01/2022,06/30/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,73,4,2.2,7.0,,04/01/2021,03/31/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,No Different Than the National Rate,706,4.7,3.8,5.7,,07/01/2023,06/30/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,142,13.6,10.6,17.1,,07/01/2021,06/30/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,MORT_30_CABG,Death rate for CABG surgery patients,Not Available,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,135,9,5.9,13.4,,07/01/2021,06/30/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,205,14.9,11.2,19.0,,07/01/2021,06/30/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,206,17,13.1,21.9,,07/01/2021,06/30/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,MORT_30_STK,Death rate for stroke patients,No Different Than the National Rate,94,13,9.7,17.2,,07/01/2021,06/30/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,PSI_03,Pressure ulcer rate,Worse Than the National Rate,2114,4.92,3.96,5.88,,07/01/2022,06/30/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,PSI_04,Death rate among surgical inpatients with serious treatable complications,No Different Than the National Rate,31,195.03,132.42,257.64,,07/01/2022,06/30/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,3165,0.18,0,0.4,,07/01/2022,06/30/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,PSI_08,In-hospital fall-associated fracture rate,No Different Than the National Rate,3147,0.33,0.12,0.54,,07/01/2022,06/30/2024
YES,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,435,2.17,0.49,3.84,,07/01/2022,06/30/2024
