pfi,hospital_name,county,region,unit_name,unit_description,day_rn_count,day_rn_hours_per_pt,day_avg_patients,day_rn_pts_per_nurse,evening_rn_count,evening_rn_hours_per_pt,evening_avg_patients,evening_rn_pts_per_nurse,night_rn_count,night_rn_hours_per_pt,night_avg_patients,night_rn_pts_per_nurse
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medicine/Surgery (E3),6,1.94,24.76,4.13,6,1.94,24.76,4.13,6,1.94,24.76,4.13
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medicine/Surgery (E4),8,1.82,35.21,4.4,8,1.82,35.21,4.4,8,1.82,35.21,4.4
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medicine/Surgery (M3),4,2.03,15.75,3.94,4,2.03,15.75,3.94,4,2.03,15.75,3.94
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medicine/Surgery (M4),5,1.99,20.11,4.02,5,1.99,20.11,4.02,5,1.99,20.11,4.02
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Neuroprogressive (D5E),8,3.03,21.09,2.64,8,3.03,21.09,2.64,8,3.03,21.09,2.64
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Neuroscience & Epilepsy Monitoring (D5N),5,1.98,20.2,4.04,5,1.98,20.2,4.04,,,,
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Orthopedics/Spine (M2),4,2.05,15.6,3.9,4,2.05,15.6,3.9,4,2.05,15.6,3.9
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Post-Cardiothoracic Surgery (C8),7,2.17,25.75,3.69,7,2.17,25.75,3.68,7,2.17,25.75,3.68
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Progressive Critical Care (D3N),7,3.91,16.51,2.36,7,3.39,16.51,2.36,,,,
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Secure Unit (C3W),2,2.09,7.65,3.83,2,2.09,7.65,3.83,2,2.09,7.65,3.83
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Surgical Short Stay (C6),4,1.84,17.43,4.36,4,1.84,17.43,4.36,4,1.84,17.43,4.36
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Vascular Surgery (C5),5,1.73,23.15,4.63,5,1.73,23.15,4.63,,,,
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Vascular Surgery (M5),5,1.99,20.14,4.03,5,1.99,20.14,4.03,5,1.99,20.14,4.03
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical-Renal (E5),,,,,6,1.72,27.87,4.65,,,,
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Colorectal Surgery/Urology (C2),,,,,,,,,5,1.86,21.51,4.3
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Neuroscience & Epilepsy Monitoring Unit (D5N),,,,,,,,,5,1.98,20.2,4.04
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Progressive Care Unit (D3N),,,,,,,,,7,3.39,16.51,2.36
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Vascular (C5),,,,,,,,,5,1.73,23.15,4.63
0004,Samaritan Hospital - Albany Memorial Campus,Albany,Capital District Regional Office,Emergency Department,Emergency Department - 1 West Wing,6.25,1.61,31,4.96,8.5,1.58,43,5.06,4.75,1.58,24,5.05
0005,St Peters Hospital,Albany,Capital District Regional Office,Emergency Department,Emergency Department - 0 McAuley,12.75,1.59,64,5.02,14.75,1.59,74,5.02,11.5,1.59,58,5.04
0005,St Peters Hospital,Albany,Capital District Regional Office,Intensive Care,Intensive Care Unit (ICU) - 4 Brady Farrell,8,4,16,2,8,4,16,2,8,4,16,2
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 3 McAuley,6,1.71,28,4.67,5.5,1.57,28,5.09,5,1.43,28,5.6
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 5 Brady Farrell,6,1.78,27,4.5,5.5,1.63,27,4.91,5,1.48,27,5.4
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 5 McAuley,7,1.7,33,4.71,6.5,1.58,33,5.08,6,1.45,33,5.5
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 6 Brady Farrell,5,1.54,26,5.2,5,1.54,26,5.2,5,1.54,26,5.2
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 6 McAuley,7,1.75,32,4.57,7,1.75,32,4.57,6,1.55,31,5.17
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 6 Pavilion,8,1.73,37,4.63,7.5,1.62,37,4.93,7,1.51,37,5.29
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Short Stay Unit - 4 Gabrilove,,,,,6,1.55,31,5.17,,,,
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Emergency Department,Emergent Care of unscheduled patients,3.3,2.1,9,18,,,,,,,,
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Medical/Surgical,General Medical/Surgical patients,4,3,13,5,,,,,,,,
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Emergency Department,Cares for Emergently arriving patients,,,,,3,2.2,20,4,,,,
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Emergency Department,Emergent care of unscheduled patients,,,,,3.8,2.1,17,5.6,,,,
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Medical/Surgical,"Cares for a variety of patients, medical, surgical",,,,,4,3,13,5,,,,
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Emergency Department,Care of undiagnosed patients,,,,,,,,,2,2.1,5,2.5
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Emergency Department,CPEP. Park building 1st floor,1,1.6,5,5,1,1.6,5,5,1,1.6,5,5
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Emergency Department,Emergency department. Park building 1st floor,6,3.2,15,4,6,3.2,15,4,6,3.2,15,4
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Intensive Care,"ICU. Medical intensive care. Memorial building 2nd
floor",2,4,4,2,,,,,,,,
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Medical/Surgical,"Krembs 4. Medical rehab. Krembs building, 4th floor",2,1.14,14,8,,,,,,,,
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Medical/Surgical,"Krembs 6. Medical/surgical, palliative care. Krembs
building, 6th floor",1,1.33,6,6,,,,,,,,
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Medical/Surgical,"Memorial 3. Medical/surgical telemetry. Memorial
building, 3rd floor",2,1,16,8,,,,,,,,
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Medical/Surgical,"Memorial 6. Medical/surgical. Memorial building 6th
floor",2,1,16,8,2,1,16,8,2,1,16,8
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Intensive Care,ICU. Memorial building 2nd floor,,,,,2,4,4,2,2,4,4,2
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Medical/Surgical,"Krembs 6. Medical/surgical, palliative care. Krembs
building 6th floor",,,,,1,1.33,6,6,1,1.33,6,6
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Medical/Surgical,"Memorial 3. Medical/surgical telemetry. Memorial
building 3rd floor",,,,,2,1,16,8,2,1,16,8
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Emergency Department,"Community hospital emergency room, non-trauma",7.5,1.18,51,5,,,,,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Intensive Care,ICU,4,4.57,7,1.75,4,4.57,7,1.75,4,4.57,7,1.75
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"1 Medical- medical/surgical with a subset of
oncology/hospice patient population. Team Nursing",4,1.14,28,8,,,,,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,2 Ross- med/surg- team nursing,2,1.33,12,8,,,,,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,3 Medical -medical/surgical- Team based nursing,4,1.06,30,8,,,,,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"Seton 2- med/surg with post operative orthopedic
patients -Team Nursing",3,1.14,21,8,,,,,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"Seton 3- Med/surg with post operative general surgery
patients",3,1.33,18,6,,,,,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Emergency Department,"community based ED, non-trauma",,,,,10,1.7,47,5,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"1 Medical - med/surg with a subset of
oncology/hospice patients - Team Nursing model",,,,,3.5,1,28,8.57,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,2 Ross- med/surg- team nursing model,,,,,2,1.33,12,8,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,3 Medical- med/surg- team nursing model,,,,,3.5,0.93,30,8.57,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"Seton 2- med/surg with post operative orthopedic
patients- team nursing model",,,,,3,1.14,21,8,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"Seton 3- med/surg patients with post operative general
surgery patients",,,,,3,1.33,18,6,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Emergency Department,"Community ED, non-trauma",,,,,,,,,6,3,16,5
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"1 Medical- med/surg with a subset of
oncology/hospice patients . Team Nursing model",,,,,,,,,3,0.86,28,10
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,2 Ross- med/surg. team nursing model,,,,,,,,,2,1.33,12,8
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,3 Medical- med/surg. team nursing model,,,,,,,,,3,0.8,30,10
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"Seton 2- med/surg with post operative orthopedic
patients. Team nursing model",,,,,,,,,3,1.14,21,8
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"Seton 3- med/surg with post operative general surgery
patients",,,,,,,,,3,1.33,18,6
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Emergency Department,Emergency department. Main tower 1st floor,15,2.94,41,4,15,2.93,41,4,14,2.54,41,4
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Emergency Department,"OBED. Obstetric emergency department. East wing
5th floor",2,4,4,2,,,,,,,,
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Intensive Care,"CVICU. Cardiovascular intensive care. Decker center
3rd floor",7,4,14,2,,,,,7,4,14,2
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Intensive Care,ICU. Medical ICU. South tower 2nd floor,7,4,14,2,,,,,,,,
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Intensive Care,NICU. Neonatal intensive care. East Wing 4th floor,3,2.67,9,3,,,,,,,,
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,"Main Tower 3. Medical/surgical telemetry. Main tower
3rd floor",5,1.67,24,5,5,1.67,24,5,5,1.67,24,5
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,"Main Tower 4. Medical/surgical telemetry. Main tower
4th floor",5,1.67,24,5,5,1.67,24,5,5,1.67,24,5
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,"Main Tower 5. Medical/surgical telemetry. Main tower
5th floor",6,1.6,30,5,6,1.6,30,5,6,1.6,30,5
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,"North Tower 2. Medical/surgical surge space. North
tower 2nd floor",5,1.6,25,5,5,1.6,25,5,5,1.6,25,5
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,North Tower 4. Medical/surgical. North tower 4th floor,5,1.6,25,5,,,,,5,1.6,25,5
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Emergency Department,OB emergency department. East wing 5th floor,,,,,2,4,4,2,2,4,4,2
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Intensive Care,CVICU. Cardiovascular intensive care.,,,,,7,4,14,2,,,,
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Intensive Care,ICU. Medical intensive care. South tower 2nd floor,,,,,7,4,14,2,7,4,14,2
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Intensive Care,NICU. Neonatal intensive care. East wing 4th floor,,,,,3,2.67,9,3,3,2.67,9,3
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,"North Tower 4. Medical/surgical telemetry. North tower
4th floor",,,,,5,1.6,25,5,,,,
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Emergency Department,"25 bed ER located on the 1st floor; respiratory,
cardiac multiple co morbidity patients",6,2.25,20,5,,,,,6,2.25,20,4
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Intensive Care,Intensive Care Unit,3,4,6,2,3,4,6,2,3,4,6,2
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Medical/Surgical,2nd/3rd Floor Medical Surgical Unit,5,3.9,31,6,8,1.82,35,5,7,1.6,35,5
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Emergency Department,"respiratory, cardiac, neuro,",,,,,8,2.25,30,4,,,,
0085,Auburn Community Hospital,Cayuga,Central Regional Office,Critical Care,CCU,4,4,7.4,2,4,4,7.4,2,4,4.6,7,2.3
0085,Auburn Community Hospital,Cayuga,Central Regional Office,Medical/Surgical,3M (Inpatient Med/Surg),5,1.7,22,5,,,,,,,,
0085,Auburn Community Hospital,Cayuga,Central Regional Office,Medical/Surgical,4C (Inpatient Med/Surg unit),5,1.7,22,5,,,,,,,,
0085,Auburn Community Hospital,Cayuga,Central Regional Office,Medical/Surgical,3M,,,,,4,1.5,20.3,5,3,1,21,7
0085,Auburn Community Hospital,Cayuga,Central Regional Office,Medical/Surgical,4C,,,,,4,1.4,21.4,5,3,1.1,22,7
0098,"Brooks-TLC Hospital System, Inc",Chautauqua,Western Regional Office,Emergency Department,"Provides services 24 hours per day for patients
seeking emergency medical care and treatment.",3.5,1.87,15,4.29,5,1.6,25,5,3.5,2.8,10,2.86
0098,"Brooks-TLC Hospital System, Inc",Chautauqua,Western Regional Office,Intensive Care,Intensive Care Unit,2,4,4,2,2,4,4,2,2,4,4,2
0098,"Brooks-TLC Hospital System, Inc",Chautauqua,Western Regional Office,Medical/Surgical,Medical/Surgical Unit,5,2,20,5,5,2,20,5,5,2,20,5
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Critical Care,"3D ICU: Mixed ICU, Stepdown and overflow patients.
Shifts are 12 hour days 7a - 7p",2,3.28,4.87,2.5,,,,,,,,
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Emergency Department,"28 bed acute care community ED - ADC 93. Located
on first floor of facility.",4,0.96,33,5,7,1.69,33,5,4,0.96,33,5
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Medical/Surgical,"3C: 12 bed medical unit. Currently closed due to
staffing",0,0,0,0,,,,,,,,
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Medical/Surgical,"4D: Medical, surgical and pediatrics unit. Work 12
hour shifts",4,1.3,25.09,6.3,,,,,,,,
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Intensive Care,"3D ICU: Mixed ICU, Stepdown and overflow unit",,,,,2,3.28,4.87,2.5,,,,
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Medical/Surgical,"3C 12 bed medical unit. Currently closed due to
staffing challenges",,,,,0,0,0,0,,,,
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Medical/Surgical,"4D: Medical, surgical, peds",,,,,4,1.28,25.09,6.3,,,,
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Intensive Care,"3D ICU; Mixed ICU, Stepdown and overflow",,,,,,,,,2,3.3,4.87,2.5
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Medical/Surgical,"3C 12 bed medical unit. Currently closed due to
staffing.",,,,,,,,,0,0,0,0
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Medical/Surgical,"4D: Medical, surgical, pediatrics",,,,,,,,,4,1.28,25.09,6.3
0111,Westfield Memorial Hospital Inc,Chautauqua,Western Regional Office,Emergency Department,Emergency patients,2,2,7,3.5,2,2,7,3.5,2,2,7,3.5
0111,Westfield Memorial Hospital Inc,Chautauqua,Western Regional Office,Medical/Surgical,Med-Surg,1,2.6,3,3,1,2.6,3,3,1,2.6,3,3
0116,Arnot Ogden Medical Center,Chemung,Western Regional Office,Emergency Department,ED,8,2.06,31,3.86,8,2.06,31,3.9,8,2.06,31,3.9
0116,Arnot Ogden Medical Center,Chemung,Western Regional Office,Intensive Care,ICU,6,4,12,2,6,4,12,2,6,4,12,2
0116,Arnot Ogden Medical Center,Chemung,Western Regional Office,Medical/Surgical,3B - med/surge/tel/stroke,4,2.13,15,3.75,,,,,,,,
0116,Arnot Ogden Medical Center,Chemung,Western Regional Office,Medical/Surgical,4B (includes telemetry),4,2.13,15,3.75,,,,,,,,
0116,Arnot Ogden Medical Center,Chemung,Western Regional Office,Medical/Surgical,3B,,,,,4,2.13,15,3.75,3,1.6,15,5
0116,Arnot Ogden Medical Center,Chemung,Western Regional Office,Medical/Surgical,4B,,,,,4,2.13,15,3.75,3,1.6,15,5
0128,Chenango Memorial Hospital Inc,Chenango,Central Regional Office,Emergency Department,"14 bed rural ED on 1st floor with aprrox. 18,000
visit/yr providing wide range of emergent care",3.75,1.51,19.91,5.3,4.75,1.72,22.04,4.64,2,2.81,5.7,2.85
0128,Chenango Memorial Hospital Inc,Chenango,Central Regional Office,Intensive Care,ICU/CCU,2,5.33,2.11,1.5,2,5.33,2.11,1.5,2,5.33,2.11,1.5
0128,Chenango Memorial Hospital Inc,Chenango,Central Regional Office,Medical/Surgical,Medical Surgical,3,1.6,15,5,3,1.6,15,5,3,1.6,15,5
0146,Columbia Memorial Hospital,Columbia,Capital District Regional Office,Emergency Department,Emergency Care,7,65,40,5.71,7,65,40,5.71,5,65,20,4
0146,Columbia Memorial Hospital,Columbia,Capital District Regional Office,Intensive Care,Intensive Care,3,5.33,4.5,2,3,5.33,4.5,2,3,5.33,4.5,2
0146,Columbia Memorial Hospital,Columbia,Capital District Regional Office,Medical/Surgical,Memorial 2,2,2.45,9.76,4.88,2,2.45,9.76,4.88,2,2.45,9.76,4.88
0146,Columbia Memorial Hospital,Columbia,Capital District Regional Office,Medical/Surgical,Memorial 4,6,0.94,23.5,3.91,5.5,1.02,23.5,4.27,5,1.12,23.5,4.7
0146,Columbia Memorial Hospital,Columbia,Capital District Regional Office,Medical/Surgical,Memorial 6,3,2.17,11.06,3.68,3,2.17,11.03,3.67,3,2.17,11.03,3.67
0146,Columbia Memorial Hospital,Columbia,Capital District Regional Office,Medical/Surgical,Memorial 6 (Tuesday Only),4,1.9,11.03,2.75,3.5,2.17,11.03,3.16,,,,
0158,Guthrie Cortland Medical Center,Cortland,Central Regional Office,Emergency Department,Emergency Care,6,2.8,35,5,8,2.8,35,5,5,2.8,5,1
0158,Guthrie Cortland Medical Center,Cortland,Central Regional Office,Intensive Care,Intensive Care Unit (ICU),4,9.6,10,3.33,4,9.6,10,3.33,4,9.6,10,3.33
0158,Guthrie Cortland Medical Center,Cortland,Central Regional Office,Medical/Surgical,Medical Surgical (2C),4,4,18,9,4,4,18,9,4,4,18,9
0165,O'Connor Hospital,Delaware,Capital District Regional Office,Emergency Department,Emergency Room,2,1.5,10,6.67,,,,,,,,
0165,O'Connor Hospital,Delaware,Capital District Regional Office,Medical/Surgical,"Critical Access Hospital, with swing bed, observation
and inpatient mix on the unit.",2,1.5,12,6,,,,,,,,
0165,O'Connor Hospital,Delaware,Capital District Regional Office,Emergency Department,ER- O'Connor,,,,,2,1.5,10,5,2,1.3,4,4
0165,O'Connor Hospital,Delaware,Capital District Regional Office,Medical/Surgical,"Critical Access Hospital 16 bed unit,. with swing bed,
observation and inpatient mix.",,,,,2,1.33,12,6,,,,
0165,O'Connor Hospital,Delaware,Capital District Regional Office,Medical/Surgical,"Critical Access inpatient unit- with observation, swing
bed and inpatient.",,,,,,,,,2,1.33,12,6
0170,Margaretville Hospital,Delaware,Capital District Regional Office,Emergency Department,5 Bed Critical Access Emergency Department- 24/7,1.5,3,4,6,1.5,2.6,5,6,1,8,1,6
0170,Margaretville Hospital,Delaware,Capital District Regional Office,Medical/Surgical,"2nd Floor-combined Acute Inpatient Medical- Surgical
Unit / Inpatient Swing Unit",1,1.6,5,5,,,,,,,,
0170,Margaretville Hospital,Delaware,Capital District Regional Office,Medical/Surgical,"2nd Floor combined-Inpatient Medical- Surgical Unit
/Inpatient Swing Unit",,,,,1,1.6,5,5,,,,
0170,Margaretville Hospital,Delaware,Capital District Regional Office,Medical/Surgical,"Inpatient Medical- Surgical unit and Inpatient Swing
Unit",,,,,,,,,1,1.6,5,5
0174,Delaware Valley Hospital Inc,Delaware,Capital District Regional Office,Emergency Department,"The ED - 24/7 and cares for patients with a wide
variety and severity of illnesses and injuries.",2,3.9,7.8,3.9,2,3.34,6.67,3.34,1,1.54,1.54,1.54
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Emergency Department,"Emergency Room that provides care to Adult and
Pediatric patients in the hospital.",10,56,36,4,,,,,,,,
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Intensive Care,Critical Care- Intensive Care Unit,5.1,4,10.2,2,5.1,4,10.2,2,5.1,4,10.2,2
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,"4 Cooke- Inpatient Surgical Total Joint
Unit ( contiguous to Physical Medicine and Rehab
Unit)",0.5,1.33,2.7,6,0.45,1.33,2.7,6,0.45,1.33,2.7,6
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,5 Cooke- Inpatient Medical- Surgical Unit,5.1,1.33,30.6,6,5.1,1.33,30.6,6,,,,
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,6 Cooke- Inpatient Medical- Surgical Unit,5.1,1.33,30.6,6,5.1,1.33,30.6,6,5.1,1.33,30.06,6
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Emergency Department,"Below unit is our adult and pediatric emergency
department.",,,,,10,2,36,4,,,,
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Emergency Department,"This ER provides care to adult and pediatric
populations.",,,,,,,,,10,2,36,4
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,5 Cooke- Inpatient Medical Surgical Unit,,,,,,,,,5.01,1.33,30.06,6
