pfi,hospital_name,county,region,unit_name,unit_description,day_LPN_count,day_LPN_hours_per_pt,evening_LPN_count,evening_LPN_hours_per_pt,night_LPN_count,night_LPN_hours_per_pt
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Emergency Department,Emergent Care of unscheduled patients,0,0,,,,
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Medical/Surgical,General Medical/Surgical patients,0,0,,,,
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Emergency Department,Cares for Emergently arriving patients,,,0,0,,
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Emergency Department,Emergent care of unscheduled patients,,,0,0,,
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Medical/Surgical,"Cares for a variety of patients, medical, surgical",,,1,2,,
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Emergency Department,Care of undiagnosed patients,,,,,0,0
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Emergency Department,CPEP. Park building 1st floor,0,0,0,0,0,0
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Emergency Department,Emergency department. Park building 1st floor,0,0,0,0,0,0
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Intensive Care,"ICU. Medical intensive care. Memorial building 2nd
floor",0,0,,,,
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Medical/Surgical,"Krembs 4. Medical rehab. Krembs building, 4th floor",1,0.57,,,,
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Medical/Surgical,"Krembs 6. Medical/surgical, palliative care. Krembs
building, 6th floor",0,0,,,,
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Medical/Surgical,"Memorial 3. Medical/surgical telemetry. Memorial
building, 3rd floor",2,1,,,,
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Medical/Surgical,"Memorial 6. Medical/surgical. Memorial building 6th
floor",1,0.57,2,1,1,0.5
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Intensive Care,ICU. Memorial building 2nd floor,,,0,0,0,0
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Medical/Surgical,"Krembs 6. Medical/surgical, palliative care. Krembs
building 6th floor",,,0,0,0,0
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Medical/Surgical,"Memorial 3. Medical/surgical telemetry. Memorial
building 3rd floor",,,2,1,1,0
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Emergency Department,"Community hospital emergency room, non-trauma",2,0.31,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Intensive Care,ICU,0,0,0,0,0,0
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"1 Medical- medical/surgical with a subset of
oncology/hospice patient population. Team Nursing",3,0.86,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,2 Ross- med/surg- team nursing,2,1.33,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,3 Medical -medical/surgical- Team based nursing,3,0.8,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"Seton 2- med/surg with post operative orthopedic
patients -Team Nursing",3,1.14,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"Seton 3- Med/surg with post operative general surgery
patients",0,0,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Emergency Department,"community based ED, non-trauma",,,0,0,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"1 Medical - med/surg with a subset of
oncology/hospice patients - Team Nursing model",,,3,0.86,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,2 Ross- med/surg- team nursing model,,,2,1.33,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,3 Medical- med/surg- team nursing model,,,3,0.8,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"Seton 2- med/surg with post operative orthopedic
patients- team nursing model",,,3,1.14,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"Seton 3- med/surg patients with post operative general
surgery patients",,,0,0,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Emergency Department,"Community ED, non-trauma",,,,,1,0.5
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"1 Medical- med/surg with a subset of
oncology/hospice patients . Team Nursing model",,,,,3,0.86
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,2 Ross- med/surg. team nursing model,,,,,2,1.33
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,3 Medical- med/surg. team nursing model,,,,,3,0.8
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"Seton 2- med/surg with post operative orthopedic
patients. Team nursing model",,,,,3,1.14
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"Seton 3- med/surg with post operative general surgery
patients",,,,,0,0
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Emergency Department,Emergency department. Main tower 1st floor,0,0,0,0,0,0
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Emergency Department,"OBED. Obstetric emergency department. East wing
5th floor",0,0,,,,
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Intensive Care,"CVICU. Cardiovascular intensive care. Decker center
3rd floor",0,0,,,0,0
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Intensive Care,ICU. Medical ICU. South tower 2nd floor,0,0,,,,
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Intensive Care,NICU. Neonatal intensive care. East Wing 4th floor,0,0,,,,
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,"Main Tower 3. Medical/surgical telemetry. Main tower
3rd floor",0,0,0,0,0,0
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,"Main Tower 4. Medical/surgical telemetry. Main tower
4th floor",0,0,0,0,0,0
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,"Main Tower 5. Medical/surgical telemetry. Main tower
5th floor",0,0,0,0,0,0
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,"North Tower 2. Medical/surgical surge space. North
tower 2nd floor",0,0,0,0,0,0
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,North Tower 4. Medical/surgical. North tower 4th floor,0,0,,,0,0
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Emergency Department,OB emergency department. East wing 5th floor,,,0,0,0,0
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Intensive Care,CVICU. Cardiovascular intensive care.,,,0,0,,
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Intensive Care,ICU. Medical intensive care. South tower 2nd floor,,,0,0,0,0
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Intensive Care,NICU. Neonatal intensive care. East wing 4th floor,,,0,0,0,0
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,"North Tower 4. Medical/surgical telemetry. North tower
4th floor",,,0,0,,
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Emergency Department,"25 bed ER located on the 1st floor; respiratory,
cardiac multiple co morbidity patients",1,0.4,,,1,0.4
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Intensive Care,Intensive Care Unit,0,0,0,0,0,0
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Medical/Surgical,2nd/3rd Floor Medical Surgical Unit,0,0,0,0,0,0
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Emergency Department,"respiratory, cardiac, neuro,",,,1,0.4,,
0085,Auburn Community Hospital,Cayuga,Central Regional Office,Critical Care,CCU,0,0,0,0,0,0
0085,Auburn Community Hospital,Cayuga,Central Regional Office,Medical/Surgical,3M (Inpatient Med/Surg),0,0,,,,
0085,Auburn Community Hospital,Cayuga,Central Regional Office,Medical/Surgical,4C (Inpatient Med/Surg unit),0,0,,,,
0085,Auburn Community Hospital,Cayuga,Central Regional Office,Medical/Surgical,3M,,,0,0,0,0
0085,Auburn Community Hospital,Cayuga,Central Regional Office,Medical/Surgical,4C,,,0,0,0,0
0098,"Brooks-TLC Hospital System, Inc",Chautauqua,Western Regional Office,Emergency Department,"Provides services 24 hours per day for patients
seeking emergency medical care and treatment.",0,0,0,0,0,0
0098,"Brooks-TLC Hospital System, Inc",Chautauqua,Western Regional Office,Intensive Care,Intensive Care Unit,0,0,0,0,0,0
0098,"Brooks-TLC Hospital System, Inc",Chautauqua,Western Regional Office,Medical/Surgical,Medical/Surgical Unit,0,0,0,0,0,0
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Critical Care,"3D ICU: Mixed ICU, Stepdown and overflow patients.
Shifts are 12 hour days 7a - 7p",0,0,,,,
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Emergency Department,"28 bed acute care community ED - ADC 93. Located
on first floor of facility.",0,0,0,0,0,0
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Medical/Surgical,"3C: 12 bed medical unit. Currently closed due to
staffing",0,0,,,,
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Medical/Surgical,"4D: Medical, surgical and pediatrics unit. Work 12
hour shifts",1,0.31,,,,
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Intensive Care,"3D ICU: Mixed ICU, Stepdown and overflow unit",,,0,0,,
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Medical/Surgical,"3C 12 bed medical unit. Currently closed due to
staffing challenges",,,0,0,,
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Medical/Surgical,"4D: Medical, surgical, peds",,,1,0.32,,
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Intensive Care,"3D ICU; Mixed ICU, Stepdown and overflow",,,,,0,0
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Medical/Surgical,"3C 12 bed medical unit. Currently closed due to
staffing.",,,,,0,0
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Medical/Surgical,"4D: Medical, surgical, pediatrics",,,,,1,0.32
0111,Westfield Memorial Hospital Inc,Chautauqua,Western Regional Office,Emergency Department,Emergency patients,0,0,0,0,0,0
0111,Westfield Memorial Hospital Inc,Chautauqua,Western Regional Office,Medical/Surgical,Med-Surg,0,0,0,0,0,0
0116,Arnot Ogden Medical Center,Chemung,Western Regional Office,Emergency Department,ED,1,0.26,1,0.26,1,0.26
0116,Arnot Ogden Medical Center,Chemung,Western Regional Office,Intensive Care,ICU,0,0,0,0,0,0
0116,Arnot Ogden Medical Center,Chemung,Western Regional Office,Medical/Surgical,3B - med/surge/tel/stroke,0,0,,,,
0116,Arnot Ogden Medical Center,Chemung,Western Regional Office,Medical/Surgical,4B (includes telemetry),0,0,,,,
0116,Arnot Ogden Medical Center,Chemung,Western Regional Office,Medical/Surgical,3B,,,0,0,0,0
0116,Arnot Ogden Medical Center,Chemung,Western Regional Office,Medical/Surgical,4B,,,0,0,0,0
0128,Chenango Memorial Hospital Inc,Chenango,Central Regional Office,Emergency Department,"14 bed rural ED on 1st floor with aprrox. 18,000
visit/yr providing wide range of emergent care",0,0,0,0,0,0
0128,Chenango Memorial Hospital Inc,Chenango,Central Regional Office,Intensive Care,ICU/CCU,0,0,0,0,0,0
0128,Chenango Memorial Hospital Inc,Chenango,Central Regional Office,Medical/Surgical,Medical Surgical,0,0,0,0,0,0
0146,Columbia Memorial Hospital,Columbia,Capital District Regional Office,Emergency Department,Emergency Care,0,0,0,0,0,0
0146,Columbia Memorial Hospital,Columbia,Capital District Regional Office,Intensive Care,Intensive Care,0,0,0,0,0,0
0146,Columbia Memorial Hospital,Columbia,Capital District Regional Office,Medical/Surgical,Memorial 2,0,0,0,0,0,0
0146,Columbia Memorial Hospital,Columbia,Capital District Regional Office,Medical/Surgical,Memorial 4,0,0,0,0,0,0
0146,Columbia Memorial Hospital,Columbia,Capital District Regional Office,Medical/Surgical,Memorial 6,0,0,0,0,0,0
0146,Columbia Memorial Hospital,Columbia,Capital District Regional Office,Medical/Surgical,Memorial 6 (Tuesday Only),0,0,0,0,,
0158,Guthrie Cortland Medical Center,Cortland,Central Regional Office,Emergency Department,Emergency Care,1,4,1,4,0,0
0158,Guthrie Cortland Medical Center,Cortland,Central Regional Office,Intensive Care,Intensive Care Unit (ICU),0,0,0,0,0,0
0158,Guthrie Cortland Medical Center,Cortland,Central Regional Office,Medical/Surgical,Medical Surgical (2C),3,2.67,3,2.67,3,2.67
0165,O'Connor Hospital,Delaware,Capital District Regional Office,Emergency Department,Emergency Room,0,0,,,,
0165,O'Connor Hospital,Delaware,Capital District Regional Office,Medical/Surgical,"Critical Access Hospital, with swing bed, observation
and inpatient mix on the unit.",1,1.5,,,,
0165,O'Connor Hospital,Delaware,Capital District Regional Office,Emergency Department,ER- O'Connor,,,0,0,0,0
0165,O'Connor Hospital,Delaware,Capital District Regional Office,Medical/Surgical,"Critical Access Hospital 16 bed unit,. with swing bed,
observation and inpatient mix.",,,1,1.33,,
0165,O'Connor Hospital,Delaware,Capital District Regional Office,Medical/Surgical,"Critical Access inpatient unit- with observation, swing
bed and inpatient.",,,,,1,1.33
0170,Margaretville Hospital,Delaware,Capital District Regional Office,Emergency Department,5 Bed Critical Access Emergency Department- 24/7,0,0,0,0,0,0
0170,Margaretville Hospital,Delaware,Capital District Regional Office,Medical/Surgical,"2nd Floor-combined Acute Inpatient Medical- Surgical
Unit / Inpatient Swing Unit",1,8,,,,
0170,Margaretville Hospital,Delaware,Capital District Regional Office,Medical/Surgical,"2nd Floor combined-Inpatient Medical- Surgical Unit
/Inpatient Swing Unit",,,1,8,,
0170,Margaretville Hospital,Delaware,Capital District Regional Office,Medical/Surgical,"Inpatient Medical- Surgical unit and Inpatient Swing
Unit",,,,,1,8
0174,Delaware Valley Hospital Inc,Delaware,Capital District Regional Office,Emergency Department,"The ED - 24/7 and cares for patients with a wide
variety and severity of illnesses and injuries.",0,0,0,0,0,0
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Emergency Department,"Emergency Room that provides care to Adult and
Pediatric patients in the hospital.",0,0,,,,
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Intensive Care,Critical Care- Intensive Care Unit,0,0,0,0,0,0
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,"4 Cooke- Inpatient Surgical Total Joint
Unit ( contiguous to Physical Medicine and Rehab
Unit)",0,0,0,0,0,0
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,5 Cooke- Inpatient Medical- Surgical Unit,0,0,0,0,,
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,6 Cooke- Inpatient Medical- Surgical Unit,0,0,0,0,0,0
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Emergency Department,"Below unit is our adult and pediatric emergency
department.",,,0,0,,
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Emergency Department,"This ER provides care to adult and pediatric
populations.",,,,,0,0
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,5 Cooke- Inpatient Medical Surgical Unit,,,,,0,0
0181,Vassar Brothers Medical Center,Dutchess,Metropolitan Area Regional Office,Emergency Department,"The Emergency Department has 64 single occupancy
rooms including three trauma bays.",0,0,0,0,0,0
0181,Vassar Brothers Medical Center,Dutchess,Metropolitan Area Regional Office,Intensive Care,2 South is a 30-bed intensive care unit,0,0,,,,
0181,Vassar Brothers Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,"4 North is a 35-bed medical/surgical Nephrology Care
Unit",0,0,0,0,0,0
0181,Vassar Brothers Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,5 North is a 36-bed medical/surgical cardiac unit,0,0,0,0,0,0
0181,Vassar Brothers Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,6 North is a 36-bed medical surgical unit,0,0,0,0,0,0
0181,Vassar Brothers Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,"6 South is a 30-bed medical/surgical neuroscience
care unit",0,0,0,0,0,0
0181,Vassar Brothers Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,7 North is a 36-bed medical surgical unit,0,0,0,0,0,0
0181,Vassar Brothers Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,7 South is a 30-bed medical/surgical oncology unit,0,0,0,0,0,0
0181,Vassar Brothers Medical Center,Dutchess,Metropolitan Area Regional Office,Intensive Care,2 South is a 30-bed Intensive Care Unit,,,0,0,0,0
0192,Northern Dutchess Hospital,Dutchess,Metropolitan Area Regional Office,Emergency Department,"ED- 16 bed hospital based suite, open 24 hours/day,
unscheduled emergency care including stroke",0,0,0,0,0,0
0192,Northern Dutchess Hospital,Dutchess,Metropolitan Area Regional Office,Intensive Care,ICU,0,0,,,,
0192,Northern Dutchess Hospital,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,Medical Surgical Sosnoff Unit,0,0,,,,
0192,Northern Dutchess Hospital,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,Medical Surgical South,0,0,0,0,0,0
0192,Northern Dutchess Hospital,Dutchess,Metropolitan Area Regional Office,Critical Care,ICU,,,0,0,0,0
0192,Northern Dutchess Hospital,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,Medical Surgical Sosnoff,,,0,0,0,0
0208,John R. Oishei Children's Hospital,Erie,Western Regional Office,Emergency Department,Emergency,0,0,0,0,0,0
0208,John R. Oishei Children's Hospital,Erie,Western Regional Office,Intensive Care,Pediatric Intensive Care,0,0,,,,
0208,John R. Oishei Children's Hospital,Erie,Western Regional Office,Intensive Care,Pediatric Intensive Care Unit,,,0,0,0,0
0210,Erie County Medical Center,Erie,Western Regional Office,Critical Care,MICU North located on the 12th floor,0,0,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Critical Care,MICU SOUTH located 12th floor,0,0,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Critical Care,TRAUMA INTENSIVE CARE located on the 1st floor,0,0,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Emergency Department,Medical / Trauma Emergency Department,1,0.5,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,10 North Med Surg Unit,1,0.4,0,0,1,0.4
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,12z2 Med Surg Unit,1,0.5,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,6 North Med Surg/ Orthopedic unit,0,0,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,6 zone 2 Med Surg/ palliative care,1,0.5,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,6z1 Surgical Unit on 6th floor,1,0.4,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,7 zone 1 medical/ surgical unit on 7 th floor,0,0,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,7 zone 4 Medical Surgical,1,0.4,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,7z2 Surgical unit on 7th floor,1,0.4,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,7zone 3 Medical unit on 7th floor,1,0.5,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,8 z 2 Med/ Surg Unit,1,0.44,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,8 zone 3 Med/Surg Surge Unit,0,0,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,8z1 Med Surg,0,0,0,0,0,0
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,"9z2 Forensic Unit on 9th floor with Department of
Corrections on site.",1,2,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Critical Care,MICU North,,,0,0,,
0210,Erie County Medical Center,Erie,Western Regional Office,Critical Care,MICU SOUTH,,,0,0,,
0210,Erie County Medical Center,Erie,Western Regional Office,Critical Care,TRAUMA INTENSIVE CARE,,,0,0,,
0210,Erie County Medical Center,Erie,Western Regional Office,Emergency Department,Medical/ Trauma Emergency Department,,,2,0.33,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,12z2 Med Surg,,,0,0,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,6 North Med Surg/ orthopedic,,,1,0.36,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,6 zone 2 Med Surg/ pallative care,,,0,0,,
