pfi,hospital_name,county,region,unit_name,unit_description,rn_count,rn_hours_per_pt,avg_patients,rn_pts_per_nurse
0002,Albany Medical Center - South Clinical Campus,Albany,Capital District Regional Office,Other,Operating Room,13,3.49,29.82,2.29
0002,Albany Medical Center - South Clinical Campus,Albany,Capital District Regional Office,Other,Outpatient Unit,10,2.55,31.35,3.13
0002,Albany Medical Center - South Clinical Campus,Albany,Capital District Regional Office,Other,Recovery Unit,4,1.4,17,5.71
0002,Albany Medical Center - South Clinical Campus,Albany,Capital District Regional Office,Short Stay,Short Stay Unit,4,2.12,14,3.78
0004,Samaritan Hospital - Albany Memorial Campus,Albany,Capital District Regional Office,Emergency Department,Emergency Department - 1 West Wing,6.25,1.61,31,4.96
0004,Samaritan Hospital - Albany Memorial Campus,Albany,Capital District Regional Office,Outpatient Clinics,Albany Memorial Hyperbaric Therapy - 6 Main,1,2.5,8,8
0004,Samaritan Hospital - Albany Memorial Campus,Albany,Capital District Regional Office,Outpatient Clinics,Albany Memorial Infusion - 4 West Wing,5.5,1.63,27,4.91
0004,Samaritan Hospital - Albany Memorial Campus,Albany,Capital District Regional Office,Outpatient Clinics,Albany Memorial Wound Care Center - 6 Main,8.5,1,73,8.59
0004,Samaritan Hospital - Albany Memorial Campus,Albany,Capital District Regional Office,Outpatient Clinics,Samaritan Ostomy Services,0,0,6.3,0
0005,St Peters Hospital,Albany,Capital District Regional Office,Ambulatory Surgery,Ambulatory Surgery - 2 Pavilion,8.66,3.23,21.43,2.47
0005,St Peters Hospital,Albany,Capital District Regional Office,Cardiac Catheterization/EP,"Cardiac Catheterization, EP, and Cardiac Access - 1
McAuley",8.84,4.71,15,1.7
0005,St Peters Hospital,Albany,Capital District Regional Office,Cardiovascular,"Cardiovascular Intensive Care Unit (CVICU) - 1
Pavilion",4.71,5.38,7,1.49
0005,St Peters Hospital,Albany,Capital District Regional Office,Cardiovascular,Cardiovascular Operating Room (CVOR) - 1 Pavilion,5.54,11.02,4.02,0.73
0005,St Peters Hospital,Albany,Capital District Regional Office,Cardiovascular,"Cardiovascular Progressive Care Unit (PROG) - 1
Pavilion",4,2.46,13,3.25
0005,St Peters Hospital,Albany,Capital District Regional Office,Chemical Dependency,Detoxification - 6 Gabrilove,2,1.6,10,5
0005,St Peters Hospital,Albany,Capital District Regional Office,Emergency Department,Emergency Department - 0 McAuley,12.75,1.59,64,5.02
0005,St Peters Hospital,Albany,Capital District Regional Office,Endoscopy,Endoscopy - 0 Pavilion,9.82,6.66,11.79,1.2
0005,St Peters Hospital,Albany,Capital District Regional Office,Intensive Care,Intensive Care Unit (ICU) - 4 Brady Farrell,8,4,16,2
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 3 McAuley,6,1.71,28,4.67
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 5 Brady Farrell,6,1.78,27,4.5
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 5 McAuley,7,1.7,33,4.71
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 6 Brady Farrell,5,1.54,26,5.2
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 6 McAuley,7,1.75,32,4.57
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 6 Pavilion,8,1.73,37,4.63
0005,St Peters Hospital,Albany,Capital District Regional Office,Neonatal,Neonatal Intensive Care Unit (NICU) - 3 Mercy,4,4,8,2
0005,St Peters Hospital,Albany,Capital District Regional Office,Nuclear Medicine/Radiology,Interventional Radiology (IR) - 0 Brady Farrell,7,5.6,10,1.43
0005,St Peters Hospital,Albany,Capital District Regional Office,Obstetrics/Gynecology,Labor & Delivery - 3 Brady Farrell,9,9,8,0.89
0005,St Peters Hospital,Albany,Capital District Regional Office,Obstetrics/Gynecology,"Women's & Children's (Ante- & Post-Partum) - 3
Pavilion",8,3.05,21,2.63
0005,St Peters Hospital,Albany,Capital District Regional Office,Other,Operating Rooms (OR) - 2 Pavilion,17.29,11,12.57,0.73
0005,St Peters Hospital,Albany,Capital District Regional Office,Other,"Post-Anesthesia Care Unit (PACU) - 1 Pavilion & 2
Pavilion",6.88,4.34,12.68,1.84
0005,St Peters Hospital,Albany,Capital District Regional Office,Outpatient Clinics,SPARC Ambulatory Detoxification - 6 Nolan Riddle,1,0.73,11,11
0005,St Peters Hospital,Albany,Capital District Regional Office,Outpatient Clinics,"St. Peter's Breast Center - 317 Building, 3rd Floor",4,7.5,120,6
0005,St Peters Hospital,Albany,Capital District Regional Office,Outpatient Clinics,"St. Peter's Medical Oncology / Hematology - 317
Building, 2nd Floor",13,0.72,75,6
0005,St Peters Hospital,Albany,Capital District Regional Office,Outpatient Clinics,"St. Peter's Radiation Oncology - 317 Building, 1st
Floor",3,1.45,70,0
0005,St Peters Hospital,Albany,Capital District Regional Office,Rehabilitaion,"Inpatient Detoxification Rehabilitation - St. Mary's
Campus",2,0.94,17,8.5
0005,St Peters Hospital,Albany,Capital District Regional Office,Short Stay,Short Stay Unit - 4 Gabrilove,6,1.55,31,5.17
0005,St Peters Hospital,Albany,Capital District Regional Office,Stepdown,Step-Down Unit (SDU) - 2 McAuley,5,2.67,15,3
0005,St Peters Hospital,Albany,Capital District Regional Office,Telemetry,Medical Surgical - 4 McAuley,7,1.75,32,4.57
0005,St Peters Hospital,Albany,Capital District Regional Office,Telemetry,Medical Surgical - 4 Pavilion,8,1.73,37,4.63
0012,Lakeview Center for Mental Health and Wellness,Oswego,Central Regional Office,Psychiatry,Inpatient Behavioral Health,4,1.07,28,9.3
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Emergency Department,Emergent Care of unscheduled patients,3.3,2.1,9,18
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Medical/Surgical,General Medical/Surgical patients,4,3,13,5
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Obstetrics/Gynecology,Birthing Center,3,6,4,2
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Other,Outpatient General Surgery,0,0,12,0
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Outpatient Clinics,Family Medicine,0,0,12,0
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Outpatient Clinics,OB/GYN,2,0.25,45,18
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Outpatient Clinics,Orthopedics,0,0,25,0
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Outpatient Clinics,Pediatrics,0,0,28,0
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Chemical Dependency,"Memorial 4. Inpatient addiction rehab. Memorial
building, 4th floor",3,1.2,20,7
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Emergency Department,CPEP. Park building 1st floor,1,1.6,5,5
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Emergency Department,Emergency department. Park building 1st floor,6,3.2,15,4
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Endoscopy,GI Lab pre-procedure. Krembs building 2nd floor.,4,0,35,4
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Endoscopy,GI lab intra-procedure,5,0,35,1
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Endoscopy,GI lab post-procedure,4,0,35,3
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Intensive Care,"ICU. Medical intensive care. Memorial building 2nd
floor",2,4,4,2
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Medical/Surgical,"Krembs 4. Medical rehab. Krembs building, 4th floor",2,1.14,14,8
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Medical/Surgical,"Krembs 6. Medical/surgical, palliative care. Krembs
building, 6th floor",1,1.33,6,6
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Medical/Surgical,"Memorial 3. Medical/surgical telemetry. Memorial
building, 3rd floor",2,1,16,8
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Medical/Surgical,"Memorial 6. Medical/surgical. Memorial building 6th
floor",2,1,16,8
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Other,ECT intra procedure,1,0,1,1
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Other,ECT post-procedure,1,0,2,2
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Other,ECT pre-procedure. Krembs building 2nd floor,11,0,14,10
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Other,Operating room. Memorial building 2nd floor,8,0,13.5,2
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Other,"PACU. Post procedure recovery. Memorial building
2nd floor",4,0,6,2
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Other,Park 4 post-op/procedure. Park building 4th floor,3,0,12,3
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Other,Park 4. Pre-op/procedure. Park building 4th floor,3,0,12,6
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Outpatient Clinics,Binghamton Pediatrics. Memorial building 1st floor,2,0.22,52,32
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Outpatient Clinics,Infusion Center. Krembs building 6th floor,3,0.9,31,3
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Outpatient Clinics,Nephrology. Park building 5th floor,1,0.33,21,8
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Outpatient Clinics,Plastic surgery. Park building 2nd floor,1,0.38,31,7
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Outpatient Clinics,Wound care. Krembs building ground floor,3,0.46,19,8
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Psychiatry,"EOB/Extended observation bed. Psychiatry
observation. Park building 1st floor",1,2,4,4
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Psychiatry,"Krembs 3. Inpatient psychiatry. Krembs building 3rd
floor",4,1.45,22,6
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Psychiatry,"Krembs 5. Inpatient psychiatry. Krembs building 5th
floor",3,1.41,17,6
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Psychiatry,"Memorial 5. Inpatient psychiatry. Memorial building
5th floor",3,1.41,17,6
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Ambulatory Surgery,"Ambulatory Surgery ""Prep""- Inpatient and outpatient
staging and discharge for OR patients",14,2.8,40,3
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Emergency Department,"Community hospital emergency room, non-trauma",7.5,1.18,51,5
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Endoscopy,"GI Lab is adjacent to the hospital and provides
outpatient colonoscopy",10,2.66,30,3
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Infusion Services,outpatient infusion center adjacent to the main hospital,3.5,1.64,17,2
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Intensive Care,ICU,4,4.57,7,1.75
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"1 Medical- medical/surgical with a subset of
oncology/hospice patient population. Team Nursing",4,1.14,28,8
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,2 Ross- med/surg- team nursing,2,1.33,12,8
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,3 Medical -medical/surgical- Team based nursing,4,1.06,30,8
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"Seton 2- med/surg with post operative orthopedic
patients -Team Nursing",3,1.14,21,8
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"Seton 3- Med/surg with post operative general surgery
patients",3,1.33,18,6
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Nuclear Medicine/Radiology,radiation oncology for outpatient,2,0.8,20,1
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Obstetrics/Gynecology,labor and delivery,3,4.14,5.8,1.9
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Other,Binghamton Riverside Pediatrics office setting,1,0.33,24,12
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Other,Breast Care Center specialty office setting,3,0.85,28,1
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Other,Cardiology specialty office setting,4,0.38,85,21.25
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Other,Diagnostic imaging/interventional radiology,7,0.65,85,1
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Other,Lourdes General Surgery specialty office setting,1,0.4,20,20
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Other,Operating Rooms,14,3.2,35,1
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Other,Palliative medicine office setting,1,1,8,8
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Other,Recovery Room,8,1.42,45,5.6
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Other,Urology specialty office setting,3,0.3,80,26.6
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Rehabilitaion,Cardiac Rehabilitation,2,0.57,28,14
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Telemetry,Seton 1- cardiovascular patient population,6,2,24,4
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Ambulatory Surgery,"Ambulatory Surgery Center (ASC) phase 1. ASC
building",3,0,12,2
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Ambulatory Surgery,"Ambulatory surgery center operating room. ASC
building",3,0,12,1
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Ambulatory Surgery,Ambulatory surgery center phase 2. ASC building,4,0,12,3
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Ambulatory Surgery,"South Wing 2 phase 2. Ambulatory surgery. South
wing 2nd floor",6,0,30,3
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Cardiac Catheterization/EP,"CACU pre and post procedure. Decker center 3rd
floor",3,0,11,4
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Cardiac Catheterization/EP,Cath lab. Decker center 2nd floor,6,0,7,1
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Cardiac Catheterization/EP,EP Lab. Decker center 2nd floor,2,0,2.1,1
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Emergency Department,Emergency department. Main tower 1st floor,15,2.94,41,4
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Emergency Department,"OBED. Obstetric emergency department. East wing
5th floor",2,4,4,2
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Endoscopy,GI Lab pre-procedure. 1st floor,1,0,8,4
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Endoscopy,GI lab intra-procedure,3,0,4,1
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Endoscopy,GI lab post procedure,2,0,8,3
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Intensive Care,"CVICU. Cardiovascular intensive care. Decker center
3rd floor",7,4,14,2
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Intensive Care,ICU. Medical ICU. South tower 2nd floor,7,4,14,2
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Intensive Care,NICU. Neonatal intensive care. East Wing 4th floor,3,2.67,9,3
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,"Magnetic Resonance
Imaging",MRI. Decker center 1st floor.,1,0.53,15,2
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,"Main Tower 3. Medical/surgical telemetry. Main tower
3rd floor",5,1.67,24,5
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,"Main Tower 4. Medical/surgical telemetry. Main tower
4th floor",5,1.67,24,5
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,"Main Tower 5. Medical/surgical telemetry. Main tower
5th floor",6,1.6,30,5
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,"North Tower 2. Medical/surgical surge space. North
tower 2nd floor",5,1.6,25,5
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,North Tower 4. Medical/surgical. North tower 4th floor,5,1.6,25,5
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Obstetrics/Gynecology,L&D. Labor & delivery room. East wing 5th floor,2,1.33,12,2
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Obstetrics/Gynecology,Maternity. North tower 5th floor,4,2,16,6
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Other,"Interventional radiology intra-procedure. Decker
center 1st floor",4,0,3,1
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Other,Operating room. Decker center 2nd floor,10,0,24.4,1
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Other,PACU. Recovery. Decker center 2nd floor,6,0,12,2
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Outpatient Clinics,Perinatal center,3,0.4,32,13
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Pediatric,"North Wing 4. Pediatric and adult medical/surgical.
North wing 4th floor",3,1.6,15,5
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Stepdown,Neuro Stepdown Suite. Main Tower 3rd floor,2,2.67,6,3
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Stepdown,Surgical Stepdown Unit. Main tower 4th floor,2,2.67,6,3
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Telemetry,Main Tower 6. Cardiac telemetry. Main tower 6th floor,7,1.87,30,5
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Telemetry,"North Tower 3. North tower, 3rd floor. Cardiac
telemetry",6,1.92,25,5
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Telemetry,"South Tower 3. Cardiac telemetry. South tower 3rd
floor",6,1.92,25,5
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Ambulatory Surgery,"OGH ambulatory surgery center is located across the
street from the main campus. GYN, Ortho, Optomo",4,4.6,7,1
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Cardiac Catheterization/EP,Cardiac Catheterization and Interventional Radiology,2,3.2,5,1
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Dialysis O/P,"Outpatient dialysis unit patient with multiple
comorbitities",3,2,12,4
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Emergency Department,"25 bed ER located on the 1st floor; respiratory,
cardiac multiple co morbidity patients",6,2.25,20,5
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Endoscopy,"Outpatient and Inpatient endoscopy patients both
preventative and upper/lower gi bleed",2,1.8,9,1
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Infusion Services,"Patient receiving blood products, iron infusions, etc as
an outpatient",1,1,8,4
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Intensive Care,Intensive Care Unit,3,4,6,2
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Medical/Surgical,2nd/3rd Floor Medical Surgical Unit,5,3.9,31,6
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Obstetrics/Gynecology,Obstetrics - L&D,2,8,2,1
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Obstetrics/Gynecology,"Obstetrics Post partum (includes mom baby couplet
care)",3,3.42,7,3
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Psychiatry,Behavioral Health Unit,2,1.56,10,7
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Rehabilitaion,"Sub Acute Rehab (Swing bed) Unit non acute care
unit",2,1.26,13,8.5
0085,Auburn Community Hospital,Cayuga,Central Regional Office,Critical Care,CCU,4,4,7.4,2
