pfi,hospital_name,county,region,unit_name,unit_description,day_UNLICENSED_count,day_UNLICENSED_hours_per_pt,evening_UNLICENSED_count,evening_UNLICENSED_hours_per_pt,night_UNLICENSED_count,night_UNLICENSED_hours_per_pt
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Colorectal Surgery/Urology (C2),,,,,2,0.74
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Neuroscience & Epilepsy Monitoring Unit (D5N),,,,,3,1.19
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Progressive Care Unit (D3N),,,,,3,1.45
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Vascular (C5),,,,,2,0.69
0004,Samaritan Hospital - Albany Memorial Campus,Albany,Capital District Regional Office,Emergency Department,Emergency Department - 1 West Wing,2.38,0.61,4,0.74,1.63,0.54
0005,St Peters Hospital,Albany,Capital District Regional Office,Emergency Department,Emergency Department - 0 McAuley,4,0.5,5,0.54,3,0.41
0005,St Peters Hospital,Albany,Capital District Regional Office,Intensive Care,Intensive Care Unit (ICU) - 4 Brady Farrell,2,1,2,1,2,1
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 3 McAuley,3,0.86,2.5,0.71,2,0.57
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 5 Brady Farrell,3,0.89,2.5,0.74,2,0.59
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 5 McAuley,4,0.97,3.5,0.85,3,0.73
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 6 Brady Farrell,3,0.92,2.5,0.77,2,0.62
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 6 McAuley,5,1.25,4.5,1.13,3,0.77
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 6 Pavilion,3,0.65,2.5,0.54,2,0.43
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Short Stay Unit - 4 Gabrilove,,,4.5,1.16,,
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Emergency Department,Emergent Care of unscheduled patients,0.5,1.5,,,,
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Medical/Surgical,General Medical/Surgical patients,2,2,,,,
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Emergency Department,Cares for Emergently arriving patients,,,1,1,,
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Emergency Department,Emergent care of unscheduled patients,,,1,1,,
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Medical/Surgical,"Cares for a variety of patients, medical, surgical",,,1,1,,
0039,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Emergency Department,Care of undiagnosed patients,,,,,1,1
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Emergency Department,CPEP. Park building 1st floor,1,1.6,1,1.6,1,1.6
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Emergency Department,Emergency department. Park building 1st floor,0,0,0,0,0,0
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Intensive Care,"ICU. Medical intensive care. Memorial building 2nd
floor",1,2,,,,
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Medical/Surgical,"Krembs 4. Medical rehab. Krembs building, 4th floor",1,0.57,,,,
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Medical/Surgical,"Krembs 6. Medical/surgical, palliative care. Krembs
building, 6th floor",1,1.33,,,,
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Medical/Surgical,"Memorial 3. Medical/surgical telemetry. Memorial
building, 3rd floor",2,1,,,,
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Medical/Surgical,"Memorial 6. Medical/surgical. Memorial building 6th
floor",1,0.57,2,1,1,0.5
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Intensive Care,ICU. Memorial building 2nd floor,,,1,2,1,2
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Medical/Surgical,"Krembs 6. Medical/surgical, palliative care. Krembs
building 6th floor",,,1,1.33,1,1.33
0042,United Health Services Hospitals Inc - Binghamton General Hospital,Broome,Central Regional Office,Medical/Surgical,"Memorial 3. Medical/surgical telemetry. Memorial
building 3rd floor",,,2,1,1,0.5
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Emergency Department,"Community hospital emergency room, non-trauma",3.5,0.55,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Intensive Care,ICU,2,2.28,1,1.14,1,1.14
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"1 Medical- medical/surgical with a subset of
oncology/hospice patient population. Team Nursing",3,0.85,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,2 Ross- med/surg- team nursing,2,1.33,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,3 Medical -medical/surgical- Team based nursing,3,0.8,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"Seton 2- med/surg with post operative orthopedic
patients -Team Nursing",3,1.14,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"Seton 3- Med/surg with post operative general surgery
patients",2,0.88,,,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Emergency Department,"community based ED, non-trauma",,,3,0.51,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"1 Medical - med/surg with a subset of
oncology/hospice patients - Team Nursing model",,,2,0.59,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,2 Ross- med/surg- team nursing model,,,2,1.33,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,3 Medical- med/surg- team nursing model,,,2.5,0.66,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"Seton 2- med/surg with post operative orthopedic
patients- team nursing model",,,2.5,0.95,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"Seton 3- med/surg patients with post operative general
surgery patients",,,2,0.88,,
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Emergency Department,"Community ED, non-trauma",,,,,3,0.51
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"1 Medical- med/surg with a subset of
oncology/hospice patients . Team Nursing model",,,,,2,0.57
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,2 Ross- med/surg. team nursing model,,,,,1,0.66
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,3 Medical- med/surg. team nursing model,,,,,2,0.53
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"Seton 2- med/surg with post operative orthopedic
patients. Team nursing model",,,,,2,0.76
0043,Our Lady of Lourdes Memorial Hospital,Broome,Central Regional Office,Medical/Surgical,"Seton 3- med/surg with post operative general surgery
patients",,,,,2,0.88
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Emergency Department,Emergency department. Main tower 1st floor,0,0,0,0,0,0
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Emergency Department,"OBED. Obstetric emergency department. East wing
5th floor",0,0,,,,
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Intensive Care,"CVICU. Cardiovascular intensive care. Decker center
3rd floor",1,0.57,,,1,0.57
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Intensive Care,ICU. Medical ICU. South tower 2nd floor,1,0.57,,,,
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Intensive Care,NICU. Neonatal intensive care. East Wing 4th floor,1,0.89,,,,
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,"Main Tower 3. Medical/surgical telemetry. Main tower
3rd floor",3,1,3,1,2,0.67
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,"Main Tower 4. Medical/surgical telemetry. Main tower
4th floor",3,1,3,1,2,0.67
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,"Main Tower 5. Medical/surgical telemetry. Main tower
5th floor",4,1.07,4,1.07,3,0.8
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,"North Tower 2. Medical/surgical surge space. North
tower 2nd floor",3,1,3,0.96,2,0.64
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,North Tower 4. Medical/surgical. North tower 4th floor,3,1.09,,,2,0.64
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Emergency Department,OB emergency department. East wing 5th floor,,,0,0,0,0
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Intensive Care,CVICU. Cardiovascular intensive care.,,,1,0.57,,
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Intensive Care,ICU. Medical intensive care. South tower 2nd floor,,,1,0.57,1,0.57
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Intensive Care,NICU. Neonatal intensive care. East wing 4th floor,,,1,0.89,0,0
0058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central Regional Office,Medical/Surgical,"North Tower 4. Medical/surgical telemetry. North tower
4th floor",,,3,0.96,,
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Emergency Department,"25 bed ER located on the 1st floor; respiratory,
cardiac multiple co morbidity patients",1,0.4,,,1,0.4
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Intensive Care,Intensive Care Unit,0,0,0,0,0,0
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Medical/Surgical,2nd/3rd Floor Medical Surgical Unit,4,1.03,4,0.9,4,0.9
0066,Olean General Hospital,Cattaraugus,Western Regional Office,Emergency Department,"respiratory, cardiac, neuro,",,,1,0.4,,
0085,Auburn Community Hospital,Cayuga,Central Regional Office,Critical Care,CCU,1,1,1,1,1,1.1
0085,Auburn Community Hospital,Cayuga,Central Regional Office,Medical/Surgical,3M (Inpatient Med/Surg),3,1,,,,
0085,Auburn Community Hospital,Cayuga,Central Regional Office,Medical/Surgical,4C (Inpatient Med/Surg unit),3,1,,,,
0085,Auburn Community Hospital,Cayuga,Central Regional Office,Medical/Surgical,3M,,,3,1.1,3,1.1
0085,Auburn Community Hospital,Cayuga,Central Regional Office,Medical/Surgical,4C,,,3,1.05,3,1.1
0098,"Brooks-TLC Hospital System, Inc",Chautauqua,Western Regional Office,Emergency Department,"Provides services 24 hours per day for patients
seeking emergency medical care and treatment.",2,1.07,2,0.64,2,1.6
0098,"Brooks-TLC Hospital System, Inc",Chautauqua,Western Regional Office,Intensive Care,Intensive Care Unit,0,0,0,0,0,0
0098,"Brooks-TLC Hospital System, Inc",Chautauqua,Western Regional Office,Medical/Surgical,Medical/Surgical Unit,3,1.2,3,1.2,3,1.2
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Critical Care,"3D ICU: Mixed ICU, Stepdown and overflow patients.
Shifts are 12 hour days 7a - 7p",1,1.64,,,,
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Emergency Department,"28 bed acute care community ED - ADC 93. Located
on first floor of facility.",2.5,0.6,3,0.72,2,0.48
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Medical/Surgical,"3C: 12 bed medical unit. Currently closed due to
staffing",0,0,,,,
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Medical/Surgical,"4D: Medical, surgical and pediatrics unit. Work 12
hour shifts",3,0.96,,,,
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Intensive Care,"3D ICU: Mixed ICU, Stepdown and overflow unit",,,1,1.64,,
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Medical/Surgical,"3C 12 bed medical unit. Currently closed due to
staffing challenges",,,0,0,,
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Medical/Surgical,"4D: Medical, surgical, peds",,,3,0.96,,
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Intensive Care,"3D ICU; Mixed ICU, Stepdown and overflow",,,,,1,1.64
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Medical/Surgical,"3C 12 bed medical unit. Currently closed due to
staffing.",,,,,0,0
0102,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Medical/Surgical,"4D: Medical, surgical, pediatrics",,,,,3,0.96
0111,Westfield Memorial Hospital Inc,Chautauqua,Western Regional Office,Emergency Department,Emergency patients,1,8,1,8,1,8
0111,Westfield Memorial Hospital Inc,Chautauqua,Western Regional Office,Medical/Surgical,Med-Surg,1,1,1,1,1,1
0116,Arnot Ogden Medical Center,Chemung,Western Regional Office,Emergency Department,ED,2,0.52,2,0.52,2,0.52
0116,Arnot Ogden Medical Center,Chemung,Western Regional Office,Intensive Care,ICU,2,1.33,2,1.33,2,1.33
0116,Arnot Ogden Medical Center,Chemung,Western Regional Office,Medical/Surgical,3B - med/surge/tel/stroke,3,1.6,,,,
0116,Arnot Ogden Medical Center,Chemung,Western Regional Office,Medical/Surgical,4B (includes telemetry),3,1.6,,,,
0116,Arnot Ogden Medical Center,Chemung,Western Regional Office,Medical/Surgical,3B,,,2,1.07,2,1.07
0116,Arnot Ogden Medical Center,Chemung,Western Regional Office,Medical/Surgical,4B,,,2,1.07,2,1.07
0128,Chenango Memorial Hospital Inc,Chenango,Central Regional Office,Emergency Department,"14 bed rural ED on 1st floor with aprrox. 18,000
visit/yr providing wide range of emergent care",2,0.8,1.25,0.45,1,1.4
0128,Chenango Memorial Hospital Inc,Chenango,Central Regional Office,Intensive Care,ICU/CCU,1,2.67,1,2.67,1,2.67
0128,Chenango Memorial Hospital Inc,Chenango,Central Regional Office,Medical/Surgical,Medical Surgical,2,1.1,2,1.1,2,1.1
0146,Columbia Memorial Hospital,Columbia,Capital District Regional Office,Emergency Department,Emergency Care,3,65,3,65,3,65
0146,Columbia Memorial Hospital,Columbia,Capital District Regional Office,Intensive Care,Intensive Care,1,5.3,1,5.3,1,5.33
0146,Columbia Memorial Hospital,Columbia,Capital District Regional Office,Medical/Surgical,Memorial 2,2,2.45,2,1.63,2,1.2
0146,Columbia Memorial Hospital,Columbia,Capital District Regional Office,Medical/Surgical,Memorial 4,5,0.88,4.5,1.24,4,1.4
0146,Columbia Memorial Hospital,Columbia,Capital District Regional Office,Medical/Surgical,Memorial 6,3,1.08,2.5,1,2,1.08
0146,Columbia Memorial Hospital,Columbia,Capital District Regional Office,Medical/Surgical,Memorial 6 (Tuesday Only),3,1.26,2.5,1.01,,
0158,Guthrie Cortland Medical Center,Cortland,Central Regional Office,Emergency Department,Emergency Care,6,1,5,0,3,0
0158,Guthrie Cortland Medical Center,Cortland,Central Regional Office,Intensive Care,Intensive Care Unit (ICU),1,6.4,1,6.4,1,6.4
0158,Guthrie Cortland Medical Center,Cortland,Central Regional Office,Medical/Surgical,Medical Surgical (2C),3,2.67,3,2.67,3,2.67
0165,O'Connor Hospital,Delaware,Capital District Regional Office,Emergency Department,Emergency Room,0,0,,,,
0165,O'Connor Hospital,Delaware,Capital District Regional Office,Medical/Surgical,"Critical Access Hospital, with swing bed, observation
and inpatient mix on the unit.",0,0,,,,
0165,O'Connor Hospital,Delaware,Capital District Regional Office,Emergency Department,ER- O'Connor,,,0,0,0,0
0165,O'Connor Hospital,Delaware,Capital District Regional Office,Medical/Surgical,"Critical Access Hospital 16 bed unit,. with swing bed,
observation and inpatient mix.",,,0,0,,
0165,O'Connor Hospital,Delaware,Capital District Regional Office,Medical/Surgical,"Critical Access inpatient unit- with observation, swing
bed and inpatient.",,,,,0,0
0170,Margaretville Hospital,Delaware,Capital District Regional Office,Emergency Department,5 Bed Critical Access Emergency Department- 24/7,0,0,0,0,0,0
0170,Margaretville Hospital,Delaware,Capital District Regional Office,Medical/Surgical,"2nd Floor-combined Acute Inpatient Medical- Surgical
Unit / Inpatient Swing Unit",0,0,,,,
0170,Margaretville Hospital,Delaware,Capital District Regional Office,Medical/Surgical,"2nd Floor combined-Inpatient Medical- Surgical Unit
/Inpatient Swing Unit",,,0,0,,
0170,Margaretville Hospital,Delaware,Capital District Regional Office,Medical/Surgical,"Inpatient Medical- Surgical unit and Inpatient Swing
Unit",,,,,0,0
0174,Delaware Valley Hospital Inc,Delaware,Capital District Regional Office,Emergency Department,"The ED - 24/7 and cares for patients with a wide
variety and severity of illnesses and injuries.",0,0,0,0,0,0
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Emergency Department,"Emergency Room that provides care to Adult and
Pediatric patients in the hospital.",0,0,,,,
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Intensive Care,Critical Care- Intensive Care Unit,0,0,0,0,0,0
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,"4 Cooke- Inpatient Surgical Total Joint
Unit ( contiguous to Physical Medicine and Rehab
Unit)",0,0,0,0,0,0
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,5 Cooke- Inpatient Medical- Surgical Unit,0,0,0,0,,
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,6 Cooke- Inpatient Medical- Surgical Unit,0,0,0,0,0,0
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Emergency Department,"Below unit is our adult and pediatric emergency
department.",,,0,0,,
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Emergency Department,"This ER provides care to adult and pediatric
populations.",,,,,0,0
0180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,5 Cooke- Inpatient Medical Surgical Unit,,,,,0,0
0181,Vassar Brothers Medical Center,Dutchess,Metropolitan Area Regional Office,Emergency Department,"The Emergency Department has 64 single occupancy
rooms including three trauma bays.",5,0.8,8,0.8,5,1.3
0181,Vassar Brothers Medical Center,Dutchess,Metropolitan Area Regional Office,Intensive Care,2 South is a 30-bed intensive care unit,3,0.89,,,,
0181,Vassar Brothers Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,"4 North is a 35-bed medical/surgical Nephrology Care
Unit",3,0.71,3,0.71,3,0.71
0181,Vassar Brothers Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,5 North is a 36-bed medical/surgical cardiac unit,3,0.71,3,0.71,3,0.71
0181,Vassar Brothers Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,6 North is a 36-bed medical surgical unit,3,0.71,3,0.71,3,0.71
0181,Vassar Brothers Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,"6 South is a 30-bed medical/surgical neuroscience
care unit",3,0.86,3,0.86,3,0.86
0181,Vassar Brothers Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,7 North is a 36-bed medical surgical unit,3,0.71,3,0.71,3,0.71
0181,Vassar Brothers Medical Center,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,7 South is a 30-bed medical/surgical oncology unit,3,0.86,3,0.86,3,0.86
0181,Vassar Brothers Medical Center,Dutchess,Metropolitan Area Regional Office,Intensive Care,2 South is a 30-bed Intensive Care Unit,,,3,0.89,3,0.89
0192,Northern Dutchess Hospital,Dutchess,Metropolitan Area Regional Office,Emergency Department,"ED- 16 bed hospital based suite, open 24 hours/day,
unscheduled emergency care including stroke",2,8,2,8,1,8
0192,Northern Dutchess Hospital,Dutchess,Metropolitan Area Regional Office,Intensive Care,ICU,1,8,,,,
0192,Northern Dutchess Hospital,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,Medical Surgical Sosnoff Unit,4,8,,,,
0192,Northern Dutchess Hospital,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,Medical Surgical South,1,8,1,8,1,8
0192,Northern Dutchess Hospital,Dutchess,Metropolitan Area Regional Office,Critical Care,ICU,,,1,8,1,8
0192,Northern Dutchess Hospital,Dutchess,Metropolitan Area Regional Office,Medical/Surgical,Medical Surgical Sosnoff,,,4,8,4,8
0208,John R. Oishei Children's Hospital,Erie,Western Regional Office,Emergency Department,Emergency,3.5,1.68,3.5,2.07,3,0.79
0208,John R. Oishei Children's Hospital,Erie,Western Regional Office,Intensive Care,Pediatric Intensive Care,1.5,1.17,,,,
0208,John R. Oishei Children's Hospital,Erie,Western Regional Office,Intensive Care,Pediatric Intensive Care Unit,,,1.5,1.17,1.5,1.17
0210,Erie County Medical Center,Erie,Western Regional Office,Critical Care,MICU North located on the 12th floor,2,1.4,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Critical Care,MICU SOUTH located 12th floor,1,0.73,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Critical Care,TRAUMA INTENSIVE CARE located on the 1st floor,1,0.4,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Emergency Department,Medical / Trauma Emergency Department,9.5,1.5,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,10 North Med Surg Unit,2,0.73,1,0.44,1,0.36
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,12z2 Med Surg Unit,2,1,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,6 North Med Surg/ Orthopedic unit,2,0.73,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,6 zone 2 Med Surg/ palliative care,1,0.5,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,6z1 Surgical Unit on 6th floor,1,0.4,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,7 zone 1 medical/ surgical unit on 7 th floor,0,0,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,7 zone 4 Medical Surgical,1,0.4,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,7z2 Surgical unit on 7th floor,0,0,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,7zone 3 Medical unit on 7th floor,1,0.53,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,8 z 2 Med/ Surg Unit,2,0.88,,,,
0210,Erie County Medical Center,Erie,Western Regional Office,Medical/Surgical,8 zone 3 Med/Surg Surge Unit,1,0.44,,,,
